case_name,wall_clock_seconds,simulated_duration,exchange_count,cumulative_exchange_volume,final_total_mass_error,max_abs_mass_error,cumulative_mass_error,normalized_mass_error,peak_stage_1d,peak_stage_2d,peak_Q_exchange,triangle_count,RMSE_stage_vs_reference,max_abs_stage_diff_vs_reference,arrival_time_diff_vs_reference,phase_lag_seconds,peak_stage_error,peak_time_error,hydrograph_NSE
aligned_mesh_fine,5.785868303035386,120.0,4624,243.30318610457513,12.04624320790083,33.50070837973351,1953.031456675991,0.057776141897335286,0.8872212568918864,0.8878582716194179,3.77217714783935,337,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aligned_mesh_coarse,2.63205432810355,120.0,2158,243.1125873942367,12.03134798506369,33.301988914034155,1947.2865011250021,0.05755800308008081,0.8873558044433594,0.8873537192052632,3.776426577313158,123,0.00046664830308989146,0.0021084010748364523,-0.026210289620403504,0.0,0.00014870277842626844,0.0,0.9791179273933369
rotated_mesh_fine,5.398026213049889,120.0,4334,243.51828936214847,12.060557845875223,33.32915255567019,1952.2705353182105,0.057900730194078424,0.8873920440673828,0.8875066508997569,3.7739067556960935,322,0.0004122693883032221,0.0019326080531022471,-0.007428925823676824,0.0,0.00017058940982161985,0.0,0.9790386026874175
rotated_mesh_coarse,5.379660503938794,120.0,4330,243.22266574411523,12.050721748752494,33.25375266108233,1951.7189485016788,0.057833714168756385,0.887413740158081,0.8870986130664242,3.777354725535122,148,0.0004805787576696171,0.001695607133946786,-0.010946815329652804,0.0,0.0001913193785930689,0.0,0.9776452177568177
narrow_corridor_refine,40.626775403972715,120.0,26644,243.57680392714792,11.058467574148267,33.256988978100765,1932.9445698858121,0.057288498513387624,0.8848249912261963,0.8887662031157858,3.8815583920680536,465,0.007073671010498242,0.02206227171379238,0.08985323562258873,0.0,-0.0024107147896926806,11.0,0.9806339314003719
wide_corridor_refine,6.525469781016,120.0,5028,243.55558678983192,12.045955219163261,33.4372394148528,1953.3204448142599,0.05784860898860967,0.8876613775889078,0.8880032986002045,3.7763439894723545,306,0.0005225972938184607,0.0023262939478068123,-0.007781115763990876,0.0,0.00024501312208369264,13.0,0.9819980402543749
