cell_id,x,y,area,partition,max_depth,arrival_time,final_stage,final_depth,final_velocity
0,68.875,28.487311063246064,4.507908674371947,unpartitioned,0.3335208651340721,0.0,0.5702504849398465,0.3312147706541323,0.05017596400671108
1,76.2809724515497,27.41400230902465,4.08452811076279,unpartitioned,0.3260786721253548,0.0,0.5701523384222121,0.32476864774945524,0.05283740392274646
2,41.300000000000004,40.106666666666676,6.216000000000008,storage_plain,0.3081944504014947,0.0,0.5706514282162987,0.30525142821629864,0.04376435600075903
3,31.125,30.8663608648104,7.203738567342896,unpartitioned,0.3521421440029374,0.0,0.5684937259417001,0.345148487846462,0.034065149784098865
4,70.69999999999999,40.10666666666666,6.2159999999998945,storage_plain,0.28168632347136324,0.0,0.5709092554683468,0.28030925546834684,0.05007960019986428
5,58.800000000000004,43.97088469131737,5.986857851766217,storage_plain,0.30201964857395175,0.0,0.5714929978922917,0.29109299789229165,0.048623206495091394
6,70.45833333333333,32.70708243494045,18.421981174475604,unpartitioned,0.29761388467448696,0.0,0.5708683025156701,0.29714211203947966,0.05192018355980684
7,69.575,36.04041576827379,15.53716614663631,unpartitioned,0.282278240930355,0.0,0.5708851336069788,0.2812494193212645,0.05163632992922752
8,77.56749892041667,22.018357369121276,5.6986759798001,unpartitioned,0.3238387138923061,0.0,0.568960840928026,0.3224744132819546,0.05075906750332024
9,68.83333333333333,40.77333333333333,4.172000000000253,storage_plain,0.2912535661222379,0.0,0.5709931627839402,0.2819931627839402,0.05001912077983898
10,73.62971933085045,41.93358466040067,12.546745509238235,storage_plain,0.27886264009073763,0.0,0.5705056538711496,0.2773944658732778,0.046653222537573265
11,47.6,40.45333333333334,5.600000000000023,storage_plain,0.31156055257796905,0.0,0.5707522509946654,0.29995225099466544,0.04430270642846731
12,74.80833333333334,35.360359743265995,11.15704518229154,unpartitioned,0.2774975251291676,0.0,0.5707493325423985,0.2766279039709699,0.050860241833053765
13,38.37028066914954,41.933584660400676,12.546745509238121,storage_plain,0.3092301369858262,0.0,0.5708255132789085,0.30793670127678036,0.043952147752665205
14,51.800000000000004,40.45333333333334,2.800000000000068,storage_plain,0.3079279809891743,0.0,0.5708224767595403,0.29642247675954037,0.04607324639972172
15,105.11462187109665,18.613123207596278,4.3410506871705365,unpartitioned,0.301360123657335,0.0,0.5644417728367698,0.2943435255186869,0.021973572187494385
16,73.625,30.704000000000004,11.286000000000058,unpartitioned,0.31212199624631415,0.0,0.570743383132482,0.31096957360867244,0.052392202295153664
17,55.23496734624231,34.90043528212465,5.009986444037963,unpartitioned,0.30132096215210485,0.0,0.5698659070096398,0.2925216492842893,0.0422199961998849
18,37.173900514596916,6.242391458219814,8.817996874680432,unpartitioned,0.36694961794357406,0.0,0.5630121802538055,0.35114883695557964,0.02472641624607045
19,34.978614002482864,39.35994552521107,33.05284528092477,unpartitioned,0.3146028263981923,0.0,0.570302225219971,0.3103205560749857,0.04320136001770336
20,59.150000000000006,38.31542114191265,2.534423402975108,storage_plain,0.30132633148881066,0.0,0.5707023326514747,0.29000233265147474,0.0470267263848178
21,59.03333333333334,39.78666666666667,2.1000000000001364,storage_plain,0.30147838395249354,0.0,0.5709617378130868,0.2903617378130868,0.04721262992274355
22,41.300000000000004,37.345333333333336,11.180399999999963,storage_plain,0.30753803898761384,0.0,0.5702234717332948,0.30482347173329477,0.04220175740028001
23,45.26666666666667,39.78666666666667,4.2000000000000455,storage_plain,0.31264930813353614,0.0,0.5705753632913034,0.30177536329130344,0.04312510957294922
24,51.80000000000001,42.89811288053423,7.468074098243733,storage_plain,0.30821513545757007,0.0,0.5713585594399744,0.2969585594399744,0.047317623023648794
