cell_id,x,y,area,partition,max_depth,arrival_time,final_stage,final_depth,final_velocity
0,53.72190651832894,7.913495306583758,16.19065197992731,unpartitioned,0.39687920513846253,0.0,0.6354849213402759,0.39687920513846253,0.8094118821522476
1,104.36900000000001,12.406666666666666,12.492419999999981,basin,0.35559003475702006,0.0,0.649447125666111,0.35559003475702006,0.9568402229562001
2,100.0,15.839999999999998,15.0,basin,0.3944909397639348,0.0,0.6731462421676447,0.38405533307673567,0.7924474467287131
3,12.806583855036038,41.15880647054696,46.60596484513147,unpartitioned,0.4936189635914566,0.0,0.737589782342405,0.4936189635914566,0.11275039083450321
4,30.9375,0.8190274466628055,8.446220543710183,unpartitioned,0.4803728522508093,0.0,0.6941228522508093,0.4803728522508093,0.4412463337012593
5,103.33333333333333,24.373333333333335,8.0,basin,0.3334197043356812,0.0,0.6428136437296206,0.3334197043356812,1.2452673799981855
6,74.83333333333333,36.67803613187993,182.7118439468111,basin,0.3742919324657776,0.0,0.6842398428572332,0.3726034792208695,1.0050373144172942
7,99.48351648351648,21.79347985347985,7.479120879120842,basin,0.3764851627982521,0.0,0.664301381176609,0.37577390864913646,0.8076605541465974
8,46.837672657215485,20.411983501973932,8.576443030297924,unpartitioned,0.397243366780078,0.0,0.6283390096788585,0.397243366780078,0.8571172972326936
9,107.33333333333333,38.85333333333333,49.92000000000007,basin,0.06927097495105805,0.0,0.41590602365039736,0.0688151145594883,5.065668276207059
10,94.0,26.373333333333335,10.0,basin,0.3630465357771627,0.0,0.6769697442065269,0.361090956327739,0.8236260634560865
11,104.59953333333334,18.87333333333333,14.496500000000083,basin,0.3153513080669871,0.0,0.6083076528520756,0.3141990710338938,1.2146720709191543
12,80.044118170286,1.679428611211944,17.31910755312319,basin,0.3982605809612977,0.0,0.665075585753263,0.39775472956749647,0.7586200525699345
13,107.03566666666667,11.9,15.480131999999912,basin,0.2385886089169102,0.0,0.46940183663018903,0.17263565481200727,2.432017511669122
14,100.66666666666667,24.373333333333335,8.0,basin,0.3649300913534999,0.0,0.6707785382153105,0.3642936897304621,0.9120250376603614
15,96.06337930888635,8.912548029380089,13.518342839986587,basin,0.3907232861891255,0.0,0.6727669844252122,0.38797057063369983,0.7876170576063123
16,100.81684981684981,20.126813186813187,8.873626373626507,basin,0.3865966005314071,0.0,0.6686821608476732,0.37870014286565523,0.7990313603173813
17,102.92388750846119,10.290871398407502,7.54516804241905,basin,0.38586889490451476,0.0,0.6781494994591997,0.38586889490451476,0.8335473275043879
18,108.66666666666667,21.12,11.520000000000095,basin,0.14871624761597452,0.0,0.403337324635094,0.10479187008963947,3.419169880285993
19,103.33333333333333,21.373333333333335,9.999999999999886,basin,0.3479451132091167,0.0,0.640669573007583,0.34794230028031026,0.9515500271499963
20,108.59953333333334,14.780000000000001,12.100031999999942,basin,0.1473046970762963,0.0,0.40675222526225474,0.10828000708043656,3.2190974931665353
21,107.33333333333333,32.61333333333334,24.960000000000036,basin,0.07016328017074669,0.0,0.41590602365039736,0.0688151145594883,5.065668276207058
22,92.0,24.373333333333335,8.0,basin,0.3795677461910209,0.0,0.6748958939895501,0.37786559095924704,0.7300541717910006
23,104.66666666666667,29.786666666666665,24.0,basin,0.15717010386234365,0.0,0.4823839663890681,0.13820214820724996,3.0587764656284553
24,108.66666666666667,25.12,12.47999999999979,basin,0.1264989266779778,0.0,0.4138144477469999,0.09860232653487866,3.6316584482491674
25,56.0,24.572531158261626,9.195186949569688,unpartitioned,0.38162894922797097,0.0,0.6393865249855467,0.38162894922797097,0.9035441615749096
26,106.0,26.45333333333333,20.480000000000018,basin,0.17107050485232278,0.0,0.5000402018220197,0.17107050485232278,2.4285034792130706
27,58.0,27.112692416167665,12.218077248503164,unpartitioned,0.3664036198316167,0.0,0.6430095165075778,0.3664034559015172,0.9157904775504093
28,100.0,29.706666666666667,18.0,basin,0.31551364210363936,0.0,0.6546045511945484,0.31551364210363936,1.2860596395808583
29,81.58917079426425,14.610998943887035,13.959231568687358,basin,0.399536628627332,0.0,0.6681261775420266,0.39911980940282926,0.7182563142519295
30,100.72991937104699,38.900161257906035,98.8225444085781,basin,0.22248346331490687,0.0,0.5623706480833217,0.22248346331490687,2.381929128251736
31,93.0478808482596,15.988521193204344,12.46394155837288,basin,0.3909095651797511,0.0,0.6705964966111883,0.38908971750399596,0.7388701304674397
32,96.15018315018314,19.593479853479852,10.947252747252492,basin,0.39035429475065614,0.0,0.6721599095615906,0.3872688006704817,0.7543438445484542
33,94.22991937104699,43.88682792457271,169.66834811137596,basin,0.325212051331021,0.0,0.6580083270085267,0.325212051331021,1.4818942618293374
34,92.72991937104699,30.58016125790603,19.05120943429506,basin,0.3600319215636555,0.0,0.6888804446330299,0.35772053259188774,0.9685513539902678
35,96.0,25.040000000000003,12.0,basin,0.3750828669616601,0.0,0.6758811178838748,0.37448717848993546,0.8386710966232078
36,104.21342716068773,2.5212301299160513,8.960863558733337,basin,0.3513572267408833,0.0,0.6450446018252699,0.3513572267408833,1.0332514100120498
37,106.62091734227364,0.96,9.900000000000006,basin,0.22516139266136886,0.0,0.5214751206711219,0.22516139266136886,2.051189064276027
