time,probe_id,stage
0.0,upstream_1d,0.88
0.0,mainstem_mid,0.88
0.0,downstream_1d,0.88
0.11024999618530273,upstream_1d,0.880000008477105
0.11024999618530273,mainstem_mid,0.880000008477105
0.11024999618530273,downstream_1d,0.8798554738362631
0.2318006157875061,upstream_1d,0.880012141333686
0.2318006157875061,mainstem_mid,0.8799997965494791
0.2318006157875061,downstream_1d,0.879696316189236
0.36581017076969147,upstream_1d,0.8800400627983941
0.36581017076969147,mainstem_mid,0.8799993197123209
0.36581017076969147,downstream_1d,0.8795211050245497
0.5135556906461716,upstream_1d,0.8800881703694662
0.5135556906461716,mainstem_mid,0.8799984720018175
0.5135556906461716,downstream_1d,0.8793282508850098
0.6764451265335083,upstream_1d,0.8801617622375488
0.6764451265335083,mainstem_mid,0.8799971474541558
0.6764451265335083,downstream_1d,0.8791160053677028
0.8560307323932648,upstream_1d,0.880267514122857
0.8560307323932648,mainstem_mid,0.8799950281778971
0.8560307323932648,downstream_1d,0.8788824611239963
1.0540238618850708,upstream_1d,0.8804131613837348
1.0540238618850708,mainstem_mid,0.8799917962816026
1.0540238618850708,downstream_1d,0.8786252869500054
1.2723112851381302,upstream_1d,0.8806081347995334
1.2723112851381302,mainstem_mid,0.8799870279100206
1.2723112851381302,downstream_1d,0.8783419926961262
1.5129731744527817,upstream_1d,0.8808637195163302
1.5129731744527817,mainstem_mid,0.8799801932440864
1.5129731744527817,downstream_1d,0.8780292934841579
1.7783029228448868,upstream_1d,0.8811934259202745
1.7783029228448868,mainstem_mid,0.8799705505371094
1.7783029228448868,downstream_1d,0.8776832156711154
2.0708289593458176,upstream_1d,0.8816129896375868
2.0708289593458176,mainstem_mid,0.8799570931328667
2.0708289593458176,downstream_1d,0.8772987789577907
2.393338903784752,upstream_1d,0.8821411662631564
2.393338903784752,mainstem_mid,0.8799386554294162
2.393338903784752,downstream_1d,0.8768693076239692
2.748906120657921,upstream_1d,0.8827996783786349
2.748906120657921,mainstem_mid,0.8799138069152832
2.748906120657921,downstream_1d,0.8763858477274576
3.1409189850091934,upstream_1d,0.8836137983534071
3.1409189850091934,mainstem_mid,0.8798806932237413
3.1409189850091934,downstream_1d,0.8758363723754883
3.5731131583452225,upstream_1d,0.8846126662360297
3.5731131583452225,mainstem_mid,0.8798366652594672
3.5731131583452225,downstream_1d,0.8752044571770562
4.049607262015343,upstream_1d,0.8858294486999512
4.049607262015343,mainstem_mid,0.8797787030537924
4.049607262015343,downstream_1d,0.8744674788581001
4.574942037463188,upstream_1d,0.8873016569349501
4.574942037463188,mainstem_mid,0.8797031508551704
4.574942037463188,downstream_1d,0.8735951317681206
5.1541236490011215,upstream_1d,0.8890707227918837
5.1541236490011215,mainstem_mid,0.8796059290568033
5.1541236490011215,downstream_1d,0.8725460900200738
5.792671367526054,upstream_1d,0.8911820517645942
5.792671367526054,mainstem_mid,0.8794821633232964
5.792671367526054,downstream_1d,0.8712653054131402
6.496670231223106,upstream_1d,0.8936838573879666
6.496670231223106,mainstem_mid,0.8793266614278158
6.496670231223106,downstream_1d,0.8696812523735894
7.272828981280327,upstream_1d,0.8966256247626411
7.272828981280327,mainstem_mid,0.8791341781616211
7.272828981280327,downstream_1d,0.8677024841308594
8.128544017672539,upstream_1d,0.9000558853149414
8.128544017672539,mainstem_mid,0.8788996802435981
8.128544017672539,downstream_1d,0.8652151425679524
9.071969851851463,upstream_1d,0.9040179782443576
9.071969851851463,mainstem_mid,0.8786195119222004
9.071969851851463,downstream_1d,0.8620822164747449
10.112096890807152,upstream_1d,0.9085445404052734
10.112096890807152,mainstem_mid,0.878292613559299
10.112096890807152,downstream_1d,0.8581458197699653
11.258836969733238,upstream_1d,0.9136500888400607
11.258836969733238,mainstem_mid,0.8779212633768717
11.258836969733238,downstream_1d,0.8532341321309408
12.480881318449974,upstream_1d,0.919131490919325
12.480881318449974,mainstem_mid,0.8775263892279731
12.480881318449974,downstream_1d,0.8473763995700413
