time,link_id,Q_exchange,deta,dV_exchange,cumulative_dV,eta_1d,eta_2d,mode,iteration_count
5.0,early_link,0.37207354111788066,0.58,1.8603677055894032,1.8603677055894032,0.82,0.24000000000000002,fixed_interval,1
5.0,front_main,4.792962917115475,0.0,23.964814585577376,23.964814585577376,0.24000000000000005,0.24000000000000005,sub,2
10.0,early_link,0.4977892543666121,0.5546776947621768,2.4889462718330604,4.349313977422463,0.8271925335838682,0.27251483882169153,fixed_interval,1
10.0,front_main,4.643081231458422,0.0,23.215406157292108,47.18022074286948,0.24000000000000005,0.24000000000000005,sub,2
15.0,early_link,0.9987038172055771,0.5796294832839428,4.993519086027885,9.34283306345035,0.8568911779494512,0.27726169466550843,fixed_interval,1
15.0,front_main,4.440856705113714,0.0,22.20428352556857,69.38450426843805,0.24000000000000005,0.24000000000000005,sub,2
20.0,early_link,0.7575490995821402,0.5581158585774004,3.7877454979107013,13.130578561361052,0.8442529950823103,0.28613713650490985,fixed_interval,1
20.0,front_main,4.278395473823934,0.0,21.39197736911967,90.77648163755772,0.24000000000000005,0.24000000000000005,sub,2
25.0,early_link,0.40134651601934684,0.531344566164826,2.006732580096734,15.137311141457786,0.8220708483741398,0.2907262822093138,fixed_interval,1
25.0,front_main,4.1727356069072945,0.0,20.863678034536473,111.6401596720942,0.24000000000000005,0.24000000000000005,sub,2
30.0,early_link,0.1817155208486524,0.5139718535989881,0.908577604243262,16.04588874570105,0.8047344116937546,0.2907625580947664,fixed_interval,1
30.0,front_main,4.124804314153274,0.0,20.62402157076637,132.26418124286056,0.24000000000000005,0.24000000000000005,sub,2
35.0,early_link,0.03691614495658619,0.4988583534781103,0.18458072478293094,16.23046947048398,0.7875730196634928,0.2887146661853825,fixed_interval,1
35.0,front_main,4.151820319919465,0.0,20.759101599597326,153.0232828424579,0.24000000000000005,0.24000000000000005,sub,2
40.0,early_link,0.0,0.4818442787137147,0.0,16.23046947048398,0.7675752866835821,0.2857310079698674,fixed_interval,1
40.0,front_main,4.187130807811944,0.0,20.93565403905972,173.95893688151762,0.24000000000000005,0.24000000000000005,sub,2
