link_id,time,dt_exchange,eta_1d,eta_2d,Q_exchange,dV_exchange,cumulative_dV,mass_error,mode,iteration_count
early_link,5.0,5.0,0.82,0.24000000000000002,0.37207354111788066,1.8603677055894032,1.8603677055894032,0.0,fixed_interval,1
front_main,5.0,5.0,0.24000000000000005,0.24000000000000005,4.792962917115475,23.964814585577376,23.964814585577376,0.0,sub,2
early_link,10.0,5.0,0.8271925335838682,0.27251483882169153,0.4977892543666121,2.4889462718330604,4.349313977422463,0.0,fixed_interval,1
front_main,10.0,5.0,0.24000000000000005,0.24000000000000005,4.643081231458422,23.215406157292108,47.18022074286948,0.0,sub,2
early_link,15.0,5.0,0.8568911779494512,0.27726169466550843,0.9987038172055771,4.993519086027885,9.34283306345035,0.0,fixed_interval,1
front_main,15.0,5.0,0.24000000000000005,0.24000000000000005,4.440856705113714,22.20428352556857,69.38450426843805,0.0,sub,2
early_link,20.0,5.0,0.8442529950823103,0.28613713650490985,0.7575490995821402,3.7877454979107013,13.130578561361052,0.0,fixed_interval,1
front_main,20.0,5.0,0.24000000000000005,0.24000000000000005,4.278395473823934,21.39197736911967,90.77648163755772,0.0,sub,2
early_link,25.0,5.0,0.8220708483741398,0.2907262822093138,0.40134651601934684,2.006732580096734,15.137311141457786,0.0,fixed_interval,1
front_main,25.0,5.0,0.24000000000000005,0.24000000000000005,4.1727356069072945,20.863678034536473,111.6401596720942,0.0,sub,2
early_link,30.0,5.0,0.8047344116937546,0.2907625580947664,0.1817155208486524,0.908577604243262,16.04588874570105,0.0,fixed_interval,1
front_main,30.0,5.0,0.24000000000000005,0.24000000000000005,4.124804314153274,20.62402157076637,132.26418124286056,0.0,sub,2
early_link,35.0,5.0,0.7875730196634928,0.2887146661853825,0.03691614495658619,0.18458072478293094,16.23046947048398,0.0,fixed_interval,1
front_main,35.0,5.0,0.24000000000000005,0.24000000000000005,4.151820319919465,20.759101599597326,153.0232828424579,0.0,sub,2
early_link,40.0,5.0,0.7675752866835821,0.2857310079698674,0.0,0.0,16.23046947048398,0.0,fixed_interval,1
front_main,40.0,5.0,0.24000000000000005,0.24000000000000005,4.187130807811944,20.93565403905972,173.95893688151762,0.0,sub,2
