backend,scenario_family,base_case_name,case_name,duration,mesh_variant,initial_cfl_dt,final_time,step_count,wall_clock_seconds,total_volume_final,relative_to_legacy
legacy,surrogate_test7_overtopping_only_variant,surrogate_test7_overtopping_only_variant_strict_global_min_dt,surrogate_test7_overtopping_only_variant_strict_global_min_dt_legacy_1donly,120.0,refined_figures,0.10499999672174454,120.0,68,0.16620494902599603,17991.775390625,1.0
fastest_exact,surrogate_test7_overtopping_only_variant,surrogate_test7_overtopping_only_variant_strict_global_min_dt,surrogate_test7_overtopping_only_variant_strict_global_min_dt_fastest_exact_1donly,120.0,refined_figures,0.10499999672174454,120.0,68,0.13608299801126122,18015.32421875,0.8187662209142554
