time,link_id,Q_exchange,deta,dV_exchange,cumulative_dV,eta_1d,eta_2d,mode,iteration_count
2.0,front_main,6.859848482358761,0.0,13.719696964717523,13.719696964717523,0.38000000000000006,0.38000000000000006,sub,3
4.0,front_main,6.983366805796911,0.0,13.966733611593822,27.686430576311345,0.38000000000000006,0.38000000000000006,sub,3
6.0,front_main,6.957217161440577,0.0,13.914434322881155,41.6008648991925,0.38000000000000006,0.38000000000000006,sub,3
8.0,front_main,6.869694680969347,0.0,13.739389361938693,55.34025426113119,0.38000000000000006,0.38000000000000006,sub,3
10.0,front_main,6.772709344049332,0.0,13.545418688098664,68.88567294922986,0.38000000000000006,0.38000000000000006,sub,3
12.0,front_main,6.6732984299977565,0.0,13.346596859995513,82.23226980922537,0.38000000000000006,0.38000000000000006,sub,3
14.0,front_main,6.575637661798779,0.0,13.151275323597558,95.38354513282293,0.38000000000000006,0.38000000000000006,sub,3
16.0,front_main,6.4915349232524715,0.0,12.983069846504943,108.36661497932788,0.38000000000000006,0.38000000000000006,sub,3
18.0,front_main,6.422207287938608,0.0,12.844414575877217,121.2110295552051,0.38000000000000006,0.38000000000000006,sub,3
20.0,front_main,6.363040043031563,0.0,12.726080086063126,133.93710964126822,0.38000000000000006,0.38000000000000006,sub,3
22.0,front_main,6.328144937715517,0.0,12.656289875431034,146.59339951669926,0.38000000000000006,0.38000000000000006,sub,3
24.0,front_main,6.314686404171205,0.0,12.62937280834241,159.22277232504166,0.38000000000000006,0.38000000000000006,sub,3
26.0,front_main,6.325760961861064,0.0,12.651521923722129,171.8742942487638,0.38000000000000006,0.38000000000000006,sub,3
28.0,front_main,6.361292264711922,0.0,12.722584529423845,184.59687877818763,0.38000000000000006,0.38000000000000006,sub,3
30.0,front_main,6.4221495234900425,0.0,12.844299046980085,197.44117782516773,0.38000000000000006,0.38000000000000006,sub,3
32.0,front_main,6.505903960833664,0.0,13.011807921667328,210.45298574683505,0.38000000000000006,0.38000000000000006,sub,3
34.0,front_main,6.5876169483273594,0.0,13.175233896654719,223.62821964348979,0.38000000000000006,0.38000000000000006,sub,3
36.0,front_main,6.6775713630245725,0.0,13.355142726049145,236.98336236953892,0.38000000000000006,0.38000000000000006,sub,3
38.0,front_main,6.769141036901639,0.0,13.538282073803279,250.5216444433422,0.38000000000000006,0.38000000000000006,sub,3
40.0,front_main,6.848681070376711,0.0,13.697362140753421,264.2190065840956,0.38000000000000006,0.38000000000000006,sub,3
42.0,front_main,6.914923920905742,0.0,13.829847841811484,278.0488544259071,0.38000000000000006,0.38000000000000006,sub,3
44.0,front_main,6.966844962528225,0.0,13.93368992505645,291.98254435096356,0.38000000000000006,0.38000000000000006,sub,3
46.0,front_main,6.999816342361688,0.0,13.999632684723377,305.98217703568696,0.38000000000000006,0.38000000000000006,sub,3
48.0,front_main,7.015686121061971,0.0,14.031372242123942,320.0135492778109,0.38000000000000006,0.38000000000000006,sub,3
50.0,front_main,7.018238640218127,0.0,14.036477280436253,334.05002655824717,0.38000000000000006,0.38000000000000006,sub,3
52.0,front_main,7.005690413014083,0.0,14.011380826028166,348.06140738427536,0.38000000000000006,0.38000000000000006,sub,3
54.0,front_main,6.980325435449963,0.0,13.960650870899926,362.0220582551753,0.38000000000000006,0.38000000000000006,sub,3
56.0,front_main,6.939176012529449,0.0,13.878352025058899,375.9004102802342,0.38000000000000006,0.38000000000000006,sub,3
58.0,front_main,6.889397199272452,0.0,13.778794398544903,389.6792046787791,0.38000000000000006,0.38000000000000006,sub,3
60.0,front_main,6.833196390111338,0.0,13.666392780222676,403.3455974590018,0.38000000000000006,0.38000000000000006,sub,3
62.0,front_main,6.764558152607973,0.0,13.529116305215947,416.87471376421774,0.38000000000000006,0.38000000000000006,sub,3
64.0,front_main,6.679404378802153,0.0,13.358808757604306,430.23352252182207,0.38000000000000006,0.38000000000000006,sub,3
66.0,front_main,6.599999843758843,0.0,13.199999687517685,443.43352220933974,0.38000000000000006,0.38000000000000006,sub,3
68.0,front_main,6.494844076669243,0.0,12.989688153338486,456.4232103626782,0.38000000000000006,0.38000000000000006,sub,3
70.0,front_main,6.391360459764125,0.0,12.78272091952825,469.20593128220645,0.38000000000000006,0.38000000000000006,sub,3
72.0,front_main,6.2879481982253,0.0,12.5758963964506,481.78182767865707,0.38000000000000006,0.38000000000000006,sub,3
74.0,front_main,6.190629671220476,0.0,12.381259342440952,494.163087021098,0.38000000000000006,0.38000000000000006,sub,3
76.0,front_main,6.077218011474817,0.0,12.154436022949634,506.3175230440477,0.38000000000000006,0.38000000000000006,sub,3
78.0,front_main,5.971032147107116,0.0,11.942064294214232,518.2595873382619,0.38000000000000006,0.38000000000000006,sub,3
80.0,front_main,5.860120830975905,0.0,11.72024166195181,529.9798290002137,0.38000000000000006,0.38000000000000006,sub,3
