time,probe_id,stage
0.0,upstream_1d,0.88
0.0,mainstem_mid,0.88
0.0,downstream_1d,0.88
0.11024998873472214,upstream_1d,0.880000008477105
0.11024998873472214,mainstem_mid,0.880000008477105
0.11024998873472214,downstream_1d,0.8798554738362631
0.23180058598518372,upstream_1d,0.880012141333686
0.23180058598518372,mainstem_mid,0.8799997965494791
0.23180058598518372,downstream_1d,0.8796971638997396
0.3658100962638855,upstream_1d,0.8800398508707682
0.3658100962638855,mainstem_mid,0.8799993197123209
0.3658100962638855,downstream_1d,0.8795239660474989
0.513555571436882,upstream_1d,0.880087587568495
0.513555571436882,mainstem_mid,0.8799984720018175
0.513555571436882,downstream_1d,0.8793345557318794
0.676444947719574,upstream_1d,0.8801604376898872
0.676444947719574,mainstem_mid,0.8799971474541558
0.676444947719574,downstream_1d,0.8791276084052192
0.849764777370734,upstream_1d,0.8802612092759874
0.849764777370734,mainstem_mid,0.87999513414171
0.849764777370734,downstream_1d,0.8789095878601074
1.0230299324891,upstream_1d,0.8803857167561849
1.0230299324891,mainstem_mid,0.8799923261006674
1.0230299324891,downstream_1d,0.8786936865912544
1.196243585425824,upstream_1d,0.8805332713656955
1.196243585425824,mainstem_mid,0.8799887233310275
1.196243585425824,downstream_1d,0.8784797456529405
1.369408081064817,upstream_1d,0.8807031843397353
1.369408081064817,mainstem_mid,0.8799843788146973
1.369408081064817,downstream_1d,0.8782675001356337
1.5425253705943607,upstream_1d,0.88089476691352
1.5425253705943607,mainstem_mid,0.8799790806240505
1.5425253705943607,downstream_1d,0.8780565791659884
1.7155973430696185,upstream_1d,0.881107383304172
1.7155973430696185,mainstem_mid,0.8799728817409939
1.7155973430696185,downstream_1d,0.8778465588887533
1.888623196686455,upstream_1d,0.881340397728814
1.888623196686455,mainstem_mid,0.8799655702379015
1.888623196686455,downstream_1d,0.8776371214124892
2.0616008023049393,upstream_1d,0.8815931214226617
2.0616008023049393,mainstem_mid,0.8799571990966797
2.0616008023049393,downstream_1d,0.8774276309543185
2.2345327594855973,upstream_1d,0.881864865620931
2.2345327594855973,mainstem_mid,0.8799477683173286
2.2345327594855973,downstream_1d,0.8772177696228027
2.407421721342246,upstream_1d,0.8821551534864638
2.407421721342246,mainstem_mid,0.8799371189541286
2.407421721342246,downstream_1d,0.8770069546169705
2.5802706614586,upstream_1d,0.8824635081821017
2.5802706614586,mainstem_mid,0.8799252510070801
2.5802706614586,downstream_1d,0.8767946561177572
2.753082328954749,upstream_1d,0.8827893998887804
2.753082328954749,mainstem_mid,0.8799123234219021
2.753082328954749,downstream_1d,0.8765802913241916
2.9258580411345285,upstream_1d,0.8831323517693414
2.9258580411345285,mainstem_mid,0.8798982302347819
2.9258580411345285,downstream_1d,0.8763633833991157
3.09859989343431,upstream_1d,0.8834920459323459
3.09859989343431,mainstem_mid,0.879882918463813
3.09859989343431,downstream_1d,0.8761434025234647
3.271311039141362,upstream_1d,0.8838677936130099
3.271311039141362,mainstem_mid,0.8798664410909017
3.271311039141362,downstream_1d,0.8759198188781738
3.4439946197091076,upstream_1d,0.8842593299018012
3.4439946197091076,mainstem_mid,0.8798487981160482
3.4439946197091076,downstream_1d,0.8756921026441786
3.6166539289724695,upstream_1d,0.8846662839253744
3.6166539289724695,mainstem_mid,0.8798298835754395
3.6166539289724695,downstream_1d,0.8754596180386014
3.7892915963682254,upstream_1d,0.8850879669189453
3.7892915963682254,mainstem_mid,0.8798098034328884
3.7892915963682254,downstream_1d,0.8752218882242838
3.9619098233894006,upstream_1d,0.8855240609910753
3.9619098233894006,mainstem_mid,0.8797886106703017
3.9619098233894006,downstream_1d,0.8749783833821615
4.134510560618687,upstream_1d,0.8859742482503254
4.134510560618687,mainstem_mid,0.8797663052876791
4.134510560618687,downstream_1d,0.874728626675076
4.307096617651716,upstream_1d,0.8864380518595377
4.307096617651716,mainstem_mid,0.8797427283393012
4.307096617651716,downstream_1d,0.8744721942477756
