cell_id,x,y,area,partition,max_depth,arrival_time,final_stage,final_depth,final_velocity
0,53.72190651832894,7.913495306583758,16.19065197992731,unpartitioned,0.318667375087724,0.0,0.5572730912895374,0.318667375087724,0.7041605464484624
1,104.36900000000001,12.406666666666666,12.492419999999981,basin,0.3333074208115278,0.0,0.6271645117206187,0.3333074208115278,0.7736681205718496
2,100.0,15.839999999999998,15.0,basin,0.3319229719892596,0.0,0.6210138810801686,0.3319229719892596,0.7079137801664743
3,12.806583855036038,41.15880647054696,46.60596484513147,unpartitioned,0.3365103022623096,0.0,0.580481121013258,0.3365103022623096,0.10371980355911858
4,30.9375,0.8190274466628055,8.446220543710183,unpartitioned,0.31363422767585036,0.0,0.5273842276758504,0.31363422767585036,0.6125755044403247
5,103.33333333333333,24.373333333333335,8.0,basin,0.31481494458667975,0.0,0.6242088839806191,0.31481494458667975,0.8875137315662658
6,74.83333333333333,36.67803613187993,182.7118439468111,basin,0.28999735839527047,0.0,0.6016337220316341,0.28999735839527047,0.814470032384586
7,99.48351648351648,21.79347985347985,7.479120879120842,basin,0.33317798438466156,0.0,0.6217054569121341,0.33317798438466156,0.6857464205000381
8,46.837672657215485,20.411983501973932,8.576443030297924,unpartitioned,0.31379988168618667,0.0,0.5448955245849672,0.31379988168618667,0.7183290987521345
9,107.33333333333333,38.85333333333333,49.92000000000007,basin,0.0945562643045178,0.0,0.418447361647521,0.07135645255661194,3.80988360269464
10,94.0,26.373333333333335,10.0,basin,0.3081853891390288,0.0,0.6240641770178167,0.3081853891390288,0.7514951571692218
11,104.59953333333334,18.87333333333333,14.496500000000083,basin,0.3258551105495132,0.0,0.619963692367695,0.3258551105495132,0.7962881138244076
12,80.044118170286,1.679428611211944,17.31910755312319,basin,0.33117403834699377,0.0,0.5984948945327603,0.33117403834699377,0.6659985949311776
13,107.03566666666667,11.9,15.480131999999912,basin,0.26978154207949806,0.0,0.5665477238976798,0.26978154207949806,1.1407684304360197
14,100.66666666666667,24.373333333333335,8.0,basin,0.3231782747763951,0.0,0.6296631232612435,0.3231782747763951,0.7483861634708923
15,96.06337930888635,8.912548029380089,13.518342839986587,basin,0.33372169395757506,0.0,0.6185181077490874,0.33372169395757506,0.7077027719954545
16,100.81684981684981,20.126813186813187,8.873626373626507,basin,0.3328422930454634,0.0,0.6228243110274814,0.3328422930454634,0.6960655112656516
17,102.92388750846119,10.290871398407502,7.54516804241905,basin,0.33458228577586163,0.0,0.6268628903305465,0.33458228577586163,0.7503374916388065
18,108.66666666666667,21.12,11.520000000000095,basin,0.18893974431620236,0.0,0.41771516382598584,0.11916970928053133,2.4994389985855885
19,103.33333333333333,21.373333333333335,9.999999999999886,basin,0.32700906871140034,0.0,0.6197363414386731,0.32700906871140034,0.776019918682953
20,108.59953333333334,14.780000000000001,12.100031999999942,basin,0.1978023847909311,0.0,0.47385394521940544,0.17538172703758725,1.8792272045256377
21,107.33333333333333,32.61333333333334,24.960000000000036,basin,0.10159697413095636,0.0,0.42680204004428035,0.07971113095337129,3.757380773986976
22,92.0,24.373333333333335,8.0,basin,0.3226641478769621,0.0,0.6196944509072652,0.3226641478769621,0.6850842025521627
23,104.66666666666667,29.786666666666665,24.0,basin,0.18266130549542958,0.0,0.5268431236772477,0.18266130549542958,1.8064734199110863
24,108.66666666666667,25.12,12.47999999999979,basin,0.1573699580416525,0.0,0.42473529344256605,0.10952317223044483,2.7344557169417825
25,56.0,24.572531158261626,9.195186949569688,unpartitioned,0.30354191607572034,0.0,0.5612994918332961,0.30354191607572034,0.7448029428802891
26,106.0,26.45333333333333,20.480000000000018,basin,0.19749115202174172,0.0,0.5264608489914386,0.19749115202174172,1.4717520541428113
27,58.0,27.112692416167665,12.218077248503164,unpartitioned,0.28891334213199144,0.0,0.565519402738052,0.28891334213199144,0.747825902321905
28,100.0,29.706666666666667,18.0,basin,0.29931991734528335,0.0,0.6384108264361924,0.29931991734528335,0.9595122965478361
