cell_id,x,y,area,partition,max_depth,arrival_time,final_stage,final_depth,final_velocity
0,17.637845324833034,23.59274438372799,9.516111733033142,unpartitioned,0.04405149796664487,0.0,0.24168934329147787,0.04405149796664487,0.02963982371962921
1,27.25577077776367,29.53523163554765,15.308163622507266,unpartitioned,0.015605083341160703,26.650308112735527,0.2561941874522577,0.015605083341160703,0.15482578354717477
2,17.15283263343198,18.656805026693082,12.458592870107083,unpartitioned,0.04381460217859948,0.0,0.24096743481203145,0.04381460217859948,0.015148032879359404
3,111.32398436559326,31.363966392729356,14.280117086041628,unpartitioned,0.0,nan,0.34132398436559325,0.0,0.0
4,37.4,46.666666666666664,120.0,arrival_plain,0.006961845929800425,nan,0.27425812298464536,0.006858122984645387,0.0038734951183287407
5,30.400000000000002,44.315,73.39799999999991,arrival_plain,0.013716449187278434,25.663259650151463,0.27411644918727845,0.013716449187278434,0.031018676096216564
6,22.07756255556967,29.53523163554765,15.248773809221433,unpartitioned,0.01166044552984069,35.53374116841517,0.24707134141874365,0.01166044552984069,0.09633651026353761
7,48.199999999999996,44.31875,42.234375,arrival_plain,0.0,nan,0.2782,0.0,0.0
8,62.6,28.386666666666667,24.34400000000005,unpartitioned,0.0,nan,0.25926666666666665,0.0,0.0
9,119.32505255953855,18.75,7.593158705191399,unpartitioned,0.0,nan,0.29932505255953856,0.0,0.0
10,69.4,24.819189726531537,12.044264789378417,unpartitioned,0.0,nan,0.24939999999999998,0.0,0.0
11,51.866666666666674,32.666666666666664,36.0,arrival_plain,0.008844044753143654,nan,0.27404404475314365,0.008844044753143654,0.030694467106700766
12,114.65731769892659,31.760791789554755,21.672263866339335,unpartitioned,0.0,nan,0.34465731769892655,0.0,0.0
13,117.42350444886284,16.744143183220825,9.19536507723717,unpartitioned,0.0,nan,0.29742350444886284,0.0,0.0
14,57.869251898529654,46.544641097107764,46.224836766844646,arrival_plain,0.0,nan,0.2878692518985297,0.0,0.0
15,81.18320396435773,47.85715976677589,93.2139052475427,arrival_plain,0.0,nan,0.3111832039643578,0.0,0.0
16,116.66666666666667,39.333333333333336,110.0,unpartitioned,0.0,nan,0.3466666666666667,0.0,0.0
17,25.33333333333334,27.762666666666664,10.575999999999965,unpartitioned,0.024991226021703172,0.0,0.24699122602170315,0.024991226021703172,0.12218544429059007
18,107.86197329784788,29.85031932155636,7.717440325093094,unpartitioned,0.0,nan,0.3211953066311812,0.0,0.0
