snapshot_id,time,cell_id,x,y,partition,stage,depth,velocity
snapshot_1,3.5731131583452225,0,17.637845324833034,23.59274438372799,unpartitioned,0.24000000000000005,0.042362154675167046,2.253774565290321e-15
snapshot_1,3.5731131583452225,1,27.25577077776367,29.53523163554765,unpartitioned,0.240589104111097,0.0,0.0
snapshot_1,3.5731131583452225,2,17.15283263343198,18.656805026693082,unpartitioned,0.24,0.04284716736656802,7.358788770229587e-17
snapshot_1,3.5731131583452225,3,111.32398436559326,31.363966392729356,unpartitioned,0.34132398436559325,0.0,0.0
snapshot_1,3.5731131583452225,4,37.4,46.666666666666664,arrival_plain,0.26739999999999997,0.0,0.0
snapshot_1,3.5731131583452225,5,30.400000000000002,44.315,arrival_plain,0.2604,0.0,0.0
snapshot_1,3.5731131583452225,6,22.07756255556967,29.53523163554765,unpartitioned,0.24000000000000166,0.004589104111098696,8.348014593022925e-14
snapshot_1,3.5731131583452225,7,48.199999999999996,44.31875,arrival_plain,0.2782,0.0,0.0
snapshot_1,3.5731131583452225,8,62.6,28.386666666666667,unpartitioned,0.25926666666666665,0.0,0.0
snapshot_1,3.5731131583452225,9,119.32505255953855,18.75,unpartitioned,0.29932505255953856,0.0,0.0
snapshot_1,3.5731131583452225,10,69.4,24.819189726531537,unpartitioned,0.24939999999999998,0.0,0.0
snapshot_1,3.5731131583452225,11,51.866666666666674,32.666666666666664,arrival_plain,0.2652,0.0,0.0
snapshot_1,3.5731131583452225,12,114.65731769892659,31.760791789554755,unpartitioned,0.34465731769892655,0.0,0.0
snapshot_1,3.5731131583452225,13,117.42350444886284,16.744143183220825,unpartitioned,0.29742350444886284,0.0,0.0
snapshot_1,3.5731131583452225,14,57.869251898529654,46.544641097107764,arrival_plain,0.2878692518985297,0.0,0.0
snapshot_1,3.5731131583452225,15,81.18320396435773,47.85715976677589,arrival_plain,0.3111832039643578,0.0,0.0
snapshot_1,3.5731131583452225,16,116.66666666666667,39.333333333333336,unpartitioned,0.3466666666666667,0.0,0.0
snapshot_1,3.5731131583452225,17,25.33333333333334,27.762666666666664,unpartitioned,0.24000000000046803,0.018000000000468058,1.4536664094967802e-11
snapshot_1,3.5731131583452225,18,107.86197329784788,29.85031932155636,unpartitioned,0.3211953066311812,0.0,0.0
snapshot_1,3.5731131583452225,19,29.2,38.98166666666666,arrival_plain,0.25920000000000004,0.0,0.0
snapshot_1,3.5731131583452225,20,49.50459016652248,24.806928291586072,unpartitioned,0.24104259471146045,0.011538004544937974,0.017622082273913226
snapshot_1,3.5731131583452225,21,86.66648230632562,22.91600406674011,unpartitioned,0.2666664823063256,0.0,0.0
snapshot_1,3.5731131583452225,22,59.0,31.72,unpartitioned,0.2723333333333333,0.0,0.0
snapshot_1,3.5731131583452225,23,14.802469135802468,24.509259259259256,unpartitioned,0.24,0.045197530864197505,2.296523303139481e-16
snapshot_1,3.5731131583452225,24,45.17626810881328,19.87442415717361,unpartitioned,0.2400164059152066,0.014840137806393316,0.00045257734362803256
snapshot_1,3.5731131583452225,25,48.666666666666664,29.333333333333332,unpartitioned,0.25532367377996124,0.009990340446627916,0.006315379991684
snapshot_1,3.5731131583452225,26,19.410895888903003,27.772564968880985,unpartitioned,0.24000000000000013,0.023922437444430455,3.335188505051859e-15
snapshot_1,3.5731131583452225,27,19.973533837783567,39.542688177603594,unpartitioned,0.2499750880129472,1.554175163648308e-06,0.03204046459587323
snapshot_1,3.5731131583452225,28,9.006084388196653,19.111379143919716,unpartitioned,0.24,0.05099391561180333,5.58914689134497e-18
snapshot_1,3.5731131583452225,29,2.873049624332493,28.293671563691788,unpartitioned,0.24,0.040460283709000816,4.421010941474787e-17
snapshot_1,3.5731131583452225,30,17.773533837783567,44.87602151093693,unpartitioned,0.24777353383778356,0.0,0.0
snapshot_1,3.5731131583452225,31,24.0,34.42933333333333,arrival_plain,0.25543826558316635,0.0014382655831663427,6.044270295977675e-05
