snapshot_id,time,cell_id,x,y,partition,stage,depth,velocity
snapshot_1,9.747450643209893,0,68.875,28.487311063246064,unpartitioned,0.5677453681350116,0.3287096538492974,0.05054956032225015
snapshot_1,9.747450643209893,1,76.2809724515497,27.41400230902465,unpartitioned,0.5636345552974553,0.3182508646246984,0.02354060900312835
snapshot_1,9.747450643209893,2,41.300000000000004,40.106666666666676,storage_plain,0.5675612175357991,0.3021612175357991,0.09780427631425666
snapshot_1,9.747450643209893,3,31.125,30.8663608648104,unpartitioned,0.5637753910031603,0.3404301529079222,0.026468229400513448
snapshot_1,9.747450643209893,4,70.69999999999999,40.10666666666666,storage_plain,0.5672037581357414,0.27660375813574145,0.10417542556859517
snapshot_1,9.747450643209893,5,58.800000000000004,43.97088469131737,storage_plain,0.573225738565609,0.29282573856560895,0.043401165263165876
snapshot_1,9.747450643209893,6,70.45833333333333,32.70708243494045,unpartitioned,0.5673924253794873,0.29366623490329685,0.06569907335398302
snapshot_1,9.747450643209893,7,69.575,36.04041576827379,unpartitioned,0.5680876580109967,0.2784519437252824,0.0843138625507802
snapshot_1,9.747450643209893,8,77.56749892041667,22.018357369121276,unpartitioned,0.5607657177038203,0.3142792900577489,0.004632267888193197
snapshot_1,9.747450643209893,9,68.83333333333333,40.77333333333333,storage_plain,0.5713364985029945,0.2823364985029945,0.09708896298956117
snapshot_1,9.747450643209893,10,73.62971933085045,41.93358466040067,storage_plain,0.5662313683920973,0.27312018039422553,0.07706022470035877
snapshot_1,9.747450643209893,11,47.6,40.45333333333334,storage_plain,0.5722735983474637,0.30147359834746373,0.017480773080904257
snapshot_1,9.747450643209893,12,74.80833333333334,35.360359743265995,unpartitioned,0.5676295139341043,0.2735080853626758,0.05124585560326645
snapshot_1,9.747450643209893,13,38.37028066914954,41.933584660400676,storage_plain,0.5671832384526317,0.3042944264505036,0.07771318727766444
snapshot_1,9.747450643209893,14,51.800000000000004,40.45333333333334,storage_plain,0.5721967017177076,0.29779670171770767,0.012594070183745663
snapshot_1,9.747450643209893,15,105.11462187109665,18.613123207596278,unpartitioned,0.5600000003440458,0.289901753025963,1.974556431802946e-09
snapshot_1,9.747450643209893,16,73.625,30.704000000000004,unpartitioned,0.5663883303256331,0.30661452080182355,0.044910599232820654
snapshot_1,9.747450643209893,17,55.23496734624231,34.90043528212465,unpartitioned,0.5719955332855119,0.2946512755601614,0.08330421531045716
snapshot_1,9.747450643209893,18,37.173900514596916,6.242391458219814,unpartitioned,0.5600009003763168,0.3481375570780909,4.779131534200874e-06
snapshot_1,9.747450643209893,19,34.978614002482864,39.35994552521107,unpartitioned,0.5673899482719493,0.30740827912696406,0.05159262778581544
snapshot_1,9.747450643209893,20,59.150000000000006,38.31542114191265,storage_plain,0.5723742363076877,0.2916742363076877,0.05160275118893679
snapshot_1,9.747450643209893,21,59.03333333333334,39.78666666666667,storage_plain,0.5720032942325515,0.29140329423255146,0.015590381171253553
snapshot_1,9.747450643209893,22,41.300000000000004,37.345333333333336,storage_plain,0.5679520819286773,0.3025520819286773,0.08721959768921084
snapshot_1,9.747450643209893,23,45.26666666666667,39.78666666666667,storage_plain,0.5714947502011288,0.30269475020112885,0.046115706214802016
snapshot_1,9.747450643209893,24,51.80000000000001,42.89811288053423,storage_plain,0.5730299314235193,0.29862993142351935,0.042659748519955146
snapshot_1,9.747450643209893,25,56.583333333333336,53.700463455968524,storage_plain,0.5765380092562097,0.2980380092562097,0.020880563339037723
snapshot_1,9.747450643209893,26,62.06666666666667,39.78666666666667,storage_plain,0.5719684355380886,0.2887684355380886,0.017117765878223123
snapshot_1,9.747450643209893,27,44.034397275121144,26.195828521266666,unpartitioned,0.567803830542433,0.350060061449472,0.05405829454699589
snapshot_1,9.747450643209893,28,53.54999999999999,38.31542114191265,storage_plain,0.572325640482746,0.29642564048274606,0.04313180801615866
snapshot_1,9.747450643209893,29,64.4,37.00682575840863,unpartitioned,0.5721977082638494,0.28699770826384946,0.07287927907494493
