time,one_d_volume,two_d_volume,system_volume,system_volume_change,system_mass_error,current_exchange_volume,cumulative_exchange_volume,exchange_count
2.0,1263.526611328125,4894.832558617676,6158.359169945801,6.264162843038321,6.264162843038321,8.048402130791862,8.048402130791862,1
4.0,1259.419921875,4908.2502920950765,6167.6702139700765,15.575206867313682,15.575206867313682,8.175132256310034,16.223534387101896,2
6.0,1255.218505859375,4921.583926343599,6176.802432202974,24.707425100211367,24.707425100211367,8.02011516085793,24.243649547959826,3
8.0,1251.2044677734375,4934.434627734291,6185.639095507729,33.544088404965805,33.544088404965805,7.732260411253408,31.975909959213233,4
10.0,1247.52587890625,4946.7738383212045,6194.2997172274545,42.2047101246917,42.2047101246917,7.413399200138702,39.38930915935194,5
12.0,1244.28271484375,4958.559115578519,6202.841830422269,50.74682331950589,50.74682331950589,7.0758194178129985,46.46512857716494,6
14.0,1241.513671875,4969.834277347165,6211.347949222165,59.25294211940218,59.25294211940218,6.739832920250262,53.2049614974152,7
16.0,1239.2137451171875,4980.659642629841,6219.873387747029,67.77838064426578,67.77838064426578,6.447360814881132,59.65232231229633,8
18.0,1237.3270263671875,4991.105199535077,6228.432225902265,76.3372187995019,76.3372187995019,6.226489628364161,65.87881194066048,9
20.0,1235.801513671875,5001.202395999476,6237.003909671351,84.90890256858802,84.90890256858802,6.043602149603846,71.92241409026433,10
22.0,1234.582275390625,5010.991110588857,6245.573385979482,93.47837887671903,93.47837887671903,5.913524993211351,77.83593908347568,11
24.0,1233.5836181640625,5020.564809515352,6254.148427679414,102.05342057665166,102.05342057665166,5.840424656061863,83.67636373953755,12
26.0,1232.7452392578125,5030.0079701931245,6262.753209450937,110.6582023481742,110.6582023481742,5.7965839599945586,89.47294769953211,13
28.0,1231.997802734375,5039.386290669481,6271.384093403856,119.28908630109345,119.28908630109345,5.783721290230826,95.25666898976294,14
30.0,1231.28857421875,5048.778003187853,6280.066577406603,127.97157030384005,127.97157030384005,5.811568006973934,101.06823699673687,15
32.0,1230.5694580078125,5058.277031551444,6288.846489559257,136.75148245649416,136.75148245649416,5.867846171718426,106.9360831684553,16
34.0,1229.805419921875,5067.883192618698,6297.688612540573,145.59360543780986,145.59360543780986,5.86612010758634,112.80220327604164,17
36.0,1228.97021484375,5077.790360024194,6306.760574867944,154.66556776518155,154.66556776518155,5.964013903606958,118.76621717964859,18
38.0,1228.013427734375,5088.179785229912,6316.193212964287,164.09820586152455,164.09820586152455,6.099363372242872,124.86558055189147,19
40.0,1226.878173828125,5099.104274916416,6325.982448744541,173.88744164177842,173.88744164177842,6.270766167698995,131.13634671959048,20
42.0,1225.5015869140625,5110.548844734526,6336.0504316485885,183.95542454582574,183.95542454582574,6.492871892865352,137.62921861245582,21
44.0,1223.822021484375,5122.492984955461,6346.315006439836,194.2199993370732,194.2199993370732,6.772526234833081,144.4017448472889,22
46.0,1221.7713623046875,5134.900335633203,6356.671697937891,204.57669083512792,204.57669083512792,7.0881693125681435,151.48991415985705,23
48.0,1219.2843017578125,5147.714901823181,6366.999203580994,214.90419647823092,214.90419647823092,7.418548650582502,158.90846281043954,24
50.0,1216.30029296875,5160.950333525777,6377.250626494527,225.15561939176405,225.15561939176405,7.766005142746179,166.6744679531857,25
52.0,1212.7510986328125,5174.787104799408,6387.53820343222,235.44319632945735,235.44319632945735,8.211312969983203,174.8857809231689,26
54.0,1208.5460205078125,5189.268644574106,6397.814665081918,245.71965797915527,245.71965797915527,8.608056826531845,183.49383774970076,27
56.0,1203.64990234375,5204.490151250208,6408.140053593958,256.04504649119554,256.04504649119554,9.041025990891825,192.53486374059258,28
58.0,1198.0072021484375,5220.424308105088,6418.431510253526,266.33650315076284,266.33650315076284,9.422110548375995,201.95697428896858,29
60.0,1191.6060791015625,5236.9482034050725,6428.554282506635,276.4592754038722,276.4592754038722,9.756057694158727,211.7130319831273,30
62.0,1184.44287109375,5253.982038212173,6438.424909305923,286.3299022031606,286.3299022031606,10.077878734681187,221.7909107178085,31
64.0,1176.526611328125,5271.538155008045,6448.06476633617,295.9697592334069,295.9697592334069,10.380159376911367,232.17107009471985,32
66.0,1167.894287109375,5289.598904148859,6457.493191258234,305.3981841554714,305.3981841554714,10.587348395306622,242.7584184900265,33
68.0,1158.6170654296875,5308.20940245862,6466.826467888308,314.7314607855451,314.7314607855451,10.78366759988108,253.54208608990757,34
70.0,1148.76220703125,5327.288211095152,6476.050418126402,323.9554110236395,323.9554110236395,10.900539272483455,264.442625362391,35
72.0,1138.432373046875,5346.687286080518,6485.119659127393,333.0246520246301,333.0246520246301,10.958885904651536,275.40151126704257,36
74.0,1127.73046875,5366.239570712757,6493.970039462757,341.8750323599943,341.8750323599943,10.968402999827621,286.3699142668702,37
76.0,1116.7620849609375,5385.775312707703,6502.537397668641,350.44239056587776,350.44239056587776,10.93107108366689,297.3009853505371,38
78.0,1105.6336669921875,5405.15071989214,6510.784386884327,358.68937978156464,358.68937978156464,10.851173020237717,308.15215837077477,39
80.0,1094.4581298828125,5424.22114553869,6518.679275421502,366.5842683187393,366.5842683187393,10.724511151342256,318.876669522117,40
82.0,1083.3441162109375,5442.857186378,6526.201302588937,374.10629548617453,374.10629548617453,10.560084183451703,329.4367537055687,41
84.0,1072.396484375,5460.981195610585,6533.377679985585,381.2826728828222,381.2826728828222,10.37513146325357,339.8118851688223,42
86.0,1061.7115478515625,5478.4991139907925,6540.210661842355,388.1156547395922,388.1156547395922,10.13871900359836,349.95060417242064,43
88.0,1051.38623046875,5495.363494797251,6546.749725266001,394.6547181632386,394.6547181632386,9.878134156450033,359.82873832887066,44
90.0,1041.505615234375,5511.456006363002,6552.961621597377,400.8666144946146,400.8666144946146,9.522288787396192,369.35102711626683,45
92.0,1032.1712646484375,5526.815300209291,6558.986564857729,406.891557754966,406.891557754966,9.203494141187733,378.55452125745455,46
94.0,1023.4346313476562,5541.447070594309,6564.881701941965,412.786694839202,412.786694839202,8.846028455765659,387.4005497132202,47
96.0,1015.3658447265625,5555.290450054237,6570.6562947808,418.56128767803693,418.56128767803693,8.421832720984012,395.8223824342042,48
98.0,1008.036865234375,5568.384270115053,6576.421135349428,424.3261282466656,424.3261282466656,8.02224901491786,403.84463144912206,49
100.0,1001.4767456054688,5580.669764939905,6582.1465105453735,430.05150344261074,430.05150344261074,7.552670083668386,411.39730153279044,50
