time,one_d_volume,two_d_volume,system_volume,system_volume_change,system_mass_error,current_exchange_volume,cumulative_exchange_volume,exchange_count
5.0,795.0394287109375,694.892205956281,1489.9316346672185,60.01561003137817,60.01561003137817,34.9451161442901,34.9451161442901,1
10.0,777.1377563476562,792.6271357225257,1569.764892070182,139.84886743434163,139.84886743434163,33.96126184281738,68.90637798710748,2
15.0,759.43408203125,886.9001775457457,1646.3342595769957,216.41823494115533,216.41823494115533,32.673665569897004,101.58004355700447,3
20.0,742.6517333984375,978.1508127644497,1720.8025461628872,290.88652152704685,290.88652152704685,31.692407912096098,133.27245146910056,4
25.0,726.724609375,1068.1434679026147,1794.8680772776147,364.95205264177434,364.95205264177434,31.43243642711179,164.70488789621234,5
30.0,711.1107177734375,1159.0733101615006,1870.184027934938,440.2680032990977,440.2680032990977,31.956447578442596,196.66133547465495,6
35.0,695.0662841796875,1252.7742289711823,1947.8405131508698,517.9244885150295,517.9244885150295,33.074946251703594,229.73628172635853,7
40.0,678.1123046875,1350.049473353781,2028.161778041281,598.2457534054406,598.2457534054406,34.37013196131249,264.106413687671,8
45.0,660.2987670898438,1449.8042405199508,2110.1030076097945,680.1869829739542,680.1869829739542,35.09551402377565,299.2019277114467,9
50.0,642.1339721679688,1550.6470652544363,2192.781037422405,762.8650127865646,762.8650127865646,35.36148020150176,334.56340791294843,10
55.0,624.1158447265625,1651.0450848775463,2275.160929604109,845.2449049682684,845.2449049682684,35.06524909028319,369.62865700323164,11
60.0,606.702880859375,1749.7734824945499,2356.476363353925,926.5603387180845,926.5603387180847,34.384835857841054,404.0134928610727,12
65.0,590.2085571289062,1845.8521182525901,2436.0606753814964,1006.144650745656,1006.144650745656,33.375084734472125,437.3885775955448,13
70.0,574.8696899414062,1938.5475434393989,2513.417233380805,1083.5012087449647,1083.5012087449647,32.13283684235157,469.5214144378964,14
75.0,560.812255859375,2027.5655431332953,2588.3777989926703,1158.46177435683,1158.46177435683,30.830787576368735,500.3522020142651,15
80.0,548.0469360351562,2112.360051048966,2660.406987084122,1230.4909624482818,1230.4909624482818,29.293841168521993,529.6460431827871,16
