cell_id,x,y,area,partition,max_depth,arrival_time,final_stage,final_depth,final_velocity
0,68.875,27.473885485415142,11.72856591641721,unpartitioned,0.33328390454330625,0.0,0.5683032948418487,0.3292675805561345,0.046138164655971856
1,82.90129357763273,12.719098072232777,16.151869455837243,unpartitioned,0.32125041040151225,0.0,0.5670916727237845,0.31603342108581356,0.04183345181907012
2,41.300000000000004,40.106666666666676,6.216000000000008,storage_plain,0.30733657477973936,0.0,0.5693646573642805,0.3039646573642805,0.03875719875532627
3,31.583333333333332,30.920666666666673,14.855500000000006,unpartitioned,0.3487369311752776,0.0,0.5659657372424639,0.3422276420043686,0.030902426788222286
4,70.69999999999999,40.10666666666666,6.2159999999998945,storage_plain,0.2813787197279197,0.0,0.5701538844705398,0.27955388447053986,0.04573472549819746
5,58.800000000000004,43.97088469131737,5.986857851766217,storage_plain,0.30199326296840195,0.0,0.5713933512227136,0.2909933512227136,0.04738238023232166
6,70.45833333333333,32.70708243494045,18.421981174475604,unpartitioned,0.2971618308687221,0.0,0.5689795192714359,0.2952533287952454,0.04567021477630592
7,69.575,36.04041576827379,15.53716614663631,unpartitioned,0.2822292981298155,0.0,0.569521090236461,0.27988537595074675,0.046067593164093056
8,80.0,27.756212357373148,16.36545171152227,unpartitioned,0.3212511313428579,0.0,0.5679975225966024,0.31942609402517386,0.041994214185233386
9,68.83333333333333,40.77333333333333,4.172000000000253,storage_plain,0.2911493332043021,0.0,0.5703023584191013,0.2813023584191013,0.04657374561577641
10,73.62971933085045,41.93358466040067,12.546745509238235,storage_plain,0.2787498039972199,0.0,0.5698912249158797,0.27678003691800795,0.04362547398686819
11,47.6,40.45333333333334,5.600000000000023,storage_plain,0.311533415355649,0.0,0.569998510575914,0.299198510575914,0.042532873512246265
12,75.53866340041128,36.86167926931008,18.76408638380849,unpartitioned,0.27638173672620087,0.0,0.5690474113034232,0.2742999855316421,0.043347175709970924
13,38.37028066914954,41.933584660400676,12.546745509238121,storage_plain,0.3096577560475919,0.0,0.5693655466193185,0.3064767346171903,0.037503803986840986
14,51.800000000000004,40.45333333333334,2.800000000000068,storage_plain,0.30791042011505554,0.0,0.5702495560819985,0.2958495560819985,0.044661705541184746
15,105.06910123882066,9.453714333045227,10.111109470987287,unpartitioned,0.3030915398803066,0.0,0.5617470298750751,0.29168780024180024,0.01216500297936621
16,73.625,30.704000000000004,11.286000000000058,unpartitioned,0.3116234775302736,0.0,0.5686697325876198,0.30889592306381025,0.04587643300688543
17,55.23496734624231,34.90043528212465,5.009986444037963,unpartitioned,0.3013168755829558,0.0,0.5686442370003211,0.2912999792749706,0.04173833029891871
18,31.04125943356261,3.684643672561876,15.71862377083508,unpartitioned,0.3702126218223307,0.0,0.5632003145983078,0.35659352079811124,0.02251964265315944
19,35.25,30.920666666666666,14.855500000000063,unpartitioned,0.3446293128561164,0.0,0.5662797389989808,0.33939878661802836,0.032566547324960345
