t,stage_ref,stage_case,diff,threshold,ref_crossing_time,case_crossing_time,arrival_time_diff
11.5,0.9368536815279936,0.9151834645292787,-0.021670216998714964,0.98,0.0,0.0,0.0
12.0,0.9360286728918845,0.9132422575311265,-0.022786415360757983,0.98,0.0,0.0,0.0
12.5,0.9352133444027395,0.9113373255201432,-0.023876018882596273,0.98,0.0,0.0,0.0
13.0,0.9343999607560056,0.9094849230778241,-0.024915037678181484,0.98,0.0,0.0,0.0
13.5,0.9335819806001309,0.9076440636935429,-0.025937916906587977,0.98,0.0,0.0,0.0
14.0,0.9327532963598347,0.905848225161879,-0.02690507119795571,0.98,0.0,0.0,0.0
14.5,0.9319090846128587,0.9046076801622365,-0.027301404450622235,0.98,0.0,0.0,0.0
15.0,0.9310446793452386,0.9055883092906795,-0.02545637005455914,0.98,0.0,0.0,0.0
15.5,0.9301565942825224,0.9065689384191223,-0.02358765586340006,0.98,0.0,0.0,0.0
16.0,0.9292421217448149,0.9075060782253326,-0.02173604351948233,0.98,0.0,0.0,0.0
16.5,0.9282978346615781,0.9084428014455478,-0.019855033216030327,0.98,0.0,0.0,0.0
17.0,0.9273236642693616,0.9092995123863438,-0.01802415188301787,0.98,0.0,0.0,0.0
17.5,0.9263195938966126,0.9101294438924462,-0.016190150004166348,0.98,0.0,0.0,0.0
18.0,0.9252857732563775,0.9108827081744933,-0.014403065081884159,0.98,0.0,0.0,0.0
18.5,0.924222103557745,0.9115584467407765,-0.012663656816968571,0.98,0.0,0.0,0.0
19.0,0.9231304065667555,0.9121901562284089,-0.010940250338346558,0.98,0.0,0.0,0.0
19.5,0.9220129185467926,0.9125094375056739,-0.009503481041118644,0.98,0.0,0.0,0.0
20.0,0.9208721198813516,0.9126468565894154,-0.008225263291936291,0.98,0.0,0.0,0.0
20.5,0.919710696146903,0.9126899720522722,-0.007020724094630837,0.98,0.0,0.0,0.0
21.0,0.9185319067667452,0.9126424384665695,-0.005889468300175782,0.98,0.0,0.0,0.0
21.5,0.9173396139143819,0.912503847371478,-0.004835766542903852,0.98,0.0,0.0,0.0
22.0,0.9161373377814885,0.9122775684096104,-0.0038597693718781523,0.98,0.0,0.0,0.0
22.5,0.9149287728135183,0.9119598102029965,-0.002968962610521708,0.98,0.0,0.0,0.0
23.0,0.9137178771864165,0.9115363473285342,-0.002181529857882336,0.98,0.0,0.0,0.0
23.5,0.9125086458759972,0.9110376818039632,-0.0014709640720340644,0.98,0.0,0.0,0.0
24.0,0.911304392059703,0.9104790597342443,-0.000825332325458783,0.98,0.0,0.0,0.0
24.5,0.9101082132688549,0.9097938697936935,-0.00031434347516146044,0.98,0.0,0.0,0.0
25.0,0.9089235864508453,0.9090678461637918,0.00014425971294651507,0.98,0.0,0.0,0.0
25.5,0.907753196033845,0.9082507869944703,0.0004975909606252937,0.98,0.0,0.0,0.0
26.0,0.9065994694782527,0.9073771173627245,0.000777647884471877,0.98,0.0,0.0,0.0
26.5,0.9054646182068224,0.9064318409004808,0.0009672226936583428,0.98,0.0,0.0,0.0
