t,stage_ref,stage_case,diff,threshold,ref_crossing_time,case_crossing_time,arrival_time_diff
0.0,0.92,0.92,0.0,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
0.5,0.9200000166893005,0.9200000166893005,0.0,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
1.0,0.9200000166893005,0.9200000166893005,0.0,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
1.5,0.919999885158599,0.9199990451780111,-8.39980587863387e-07,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
2.0,0.9199947541009894,0.9199939935651622,-7.605358272044782e-07,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
2.5,0.919976026159746,0.9199787918460891,2.7656863430536305e-06,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
3.0,0.9199301198130189,0.9199452487407836,1.5128927764784805e-05,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
3.5,0.9198397787790854,0.9198835596982778,4.378091919243765e-05,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
4.0,0.9196852069252283,0.9197790057438144,9.379881858617711e-05,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
4.5,0.9194496791780218,0.9196137068454974,0.00016402766747558584,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
5.0,0.9191147693751658,0.9193684344678235,0.00025366509265767334,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
5.5,0.9186613152883879,0.9190264899604661,0.00036517467207819454,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
6.0,0.9180718845164426,0.9185797096180757,0.0005078251016330526,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
6.5,0.9173319197027221,0.918036129109077,0.0007042094063548499,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
7.0,0.9164278862607068,0.9172809192612681,0.0008530330005612763,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
7.5,0.9153507383772892,0.9164001142133243,0.001049375836035149,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
8.0,0.9140957976670754,0.915379603065369,0.001283805398293647,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
8.5,0.9126588128865752,0.9140864276003267,0.0014276147137514128,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
9.0,0.9110397055179706,0.9126560637497458,0.0016163582317751946,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
9.5,0.9092430468612672,0.9110371739140573,0.0017941270527900288,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
10.0,0.9072761850828772,0.909165361943197,0.0018891768603197523,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
10.5,0.9051469014306788,0.9071648367391859,0.002017935308507135,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
11.0,0.9028663183979495,0.9049477460519569,0.0020814276540074284,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
11.5,0.900446408311925,0.9025501147883721,0.002103706476447087,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
12.0,0.8979054314519184,0.9000464995837861,0.0021410681318677627,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
12.5,0.8952566756820726,0.8973369816316142,0.002080305949541672,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
13.0,0.8925163214955095,0.8945366323796694,0.0020203108841598816,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
13.5,0.8897032379812314,0.8916450972152075,0.001941859233976051,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
14.0,0.8868333703446644,0.8886355848384604,0.0018022144937960283,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
14.5,0.8839240165379361,0.8855895816023167,0.0016655650643806474,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
15.0,0.8809900046603553,0.8824859261512756,0.001495921490920371,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
15.5,0.8780471298627716,0.879358038522385,0.0013109086596134745,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
16.0,0.8751054265516676,0.8762334425805679,0.001128016028900336,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
16.5,0.8721758011276489,0.8731123424784232,0.0009365413507742559,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
17.0,0.8692707457732987,0.8700305961855632,0.0007598504122645622,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
17.5,0.866400671187343,0.8669783298947317,0.0005776587073886841,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
18.0,0.8635693986078055,0.8639724039740609,0.0004030053662554822,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
18.5,0.860785098420054,0.8610424293473756,0.00025733092732160845,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
19.0,0.8580519135417269,0.8581495190728143,9.760553108739689e-05,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
19.5,0.8553726266580739,0.8553658148256015,-6.811832472419788e-06,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
20.0,0.8527504216155276,0.8526372620661911,-0.00011315954933655004,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
20.5,0.8501833632100103,0.8499818454185548,-0.00020151779145549664,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
21.0,0.8476725922081091,0.8474247105673497,-0.00024788164075939534,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
21.5,0.8452182002853628,0.8449092057449491,-0.00030899454041366514,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
22.0,0.8428155671499835,0.8425038910364836,-0.00031167611349991464,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
22.5,0.8404630833904647,0.8401440043259693,-0.0003190790644954644,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
23.0,0.8381571165968389,0.8378476043949233,-0.0003095122019155516,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
23.5,0.8358957417811163,0.8356192450910094,-0.0002764966901068755,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
24.0,0.8336752235182268,0.8334189959250623,-0.00025622759316445975,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
24.5,0.8314945688918576,0.831289360844722,-0.00020520804713552998,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
25.0,0.8293491645468276,0.829179779482963,-0.00016938506386465768,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
25.5,0.8272348238139866,0.827106190715568,-0.00012863309841859571,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
26.0,0.8251472564341564,0.8250583154695168,-8.894096463962775e-05,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
26.5,0.8230828847158431,0.8230235091300946,-5.937558574853341e-05,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
27.0,0.8210393038771562,0.8210122192727876,-2.7084604368621257e-05,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
27.5,0.8190141264662485,0.8190052376250461,-8.888841202425724e-06,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
28.0,0.8170050100951867,0.8170078888113641,2.878716177434626e-06,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
28.5,0.8150097781074741,0.8150136768079089,3.898700434823432e-06,0.9200000083446502,0.05512499400065284,0.05512499400065284,0.0
