time,one_d_volume,two_d_volume,system_volume,system_volume_change,system_mass_error,current_exchange_volume,cumulative_exchange_volume,exchange_count
5.0,1257.1744384765625,4910.53635841096,6167.7107968875225,15.615789784759727,15.615789784759727,20.672470422479176,20.672470422479176,1
10.0,1247.3028564453125,4942.1458871745235,6189.448743619836,37.35373651707323,37.35373651707323,18.91854051488105,39.591010937360224,2
15.0,1239.931396484375,4970.56713807429,6210.498534558665,58.403527455901894,58.403527455901894,16.877261224610056,56.468272161970276,3
20.0,1235.3790283203125,4996.298749536443,6231.677777856756,79.58277075399292,79.58277075399292,15.26062680242509,71.72889896439537,4
25.0,1232.81103515625,5020.178377935243,6252.989413091493,100.89440598872989,100.89440598872989,14.49720834610808,86.22610731050345,5
30.0,1231.0986328125,5043.4137335994865,6274.5123664119865,122.41735930922368,122.41735930922368,14.365887996827038,100.59199530733049,6
35.0,1229.3192138671875,5067.320160999368,6296.639374866556,144.54436776379316,144.54436776379316,14.770616711818622,115.36261201914911,7
40.0,1226.8309326171875,5093.58200082285,6320.412933440038,168.3179263372749,168.3179263372749,15.590661559872098,130.95327357902121,8
45.0,1222.884033203125,5123.251698302886,6346.135731506011,194.04072440324853,194.04072440324853,17.15261934183108,148.10589292085228,9
50.0,1216.3341064453125,5156.600167253668,6372.93427369898,220.83926659621739,220.83926659621739,19.681383069758805,167.78727599061108,10
55.0,1205.9554443359375,5193.91257318409,6399.868017520028,247.77301041726514,247.77301041726514,22.39892625356143,190.1862022441725,11
60.0,1190.93310546875,5235.804660798546,6426.737766267296,274.64275916453335,274.64275916453335,25.037000406878583,215.22320265105108,12
65.0,1171.031982421875,5281.117899300982,6452.149881722857,300.05487462009387,300.05487462009387,26.921309568665627,242.14451221971672,13
70.0,1146.9652099609375,5329.032575466452,6475.997785427389,323.9027783246265,323.9027783246265,27.68968458596458,269.8341968056813,14
75.0,1120.1077880859375,5378.24326528919,6498.351053375128,346.256046272365,346.256046272365,27.679294913246352,297.51349171892764,15
80.0,1092.06396484375,5426.293591132262,6518.357555976012,366.2625488732492,366.2625488732492,26.897145798988845,324.4106375179165,16
85.0,1064.5430908203125,5471.427458917573,6535.970549737885,383.87554263512266,383.87554263512266,25.65553896555915,350.06617648347566,17
90.0,1039.049560546875,5512.688828621834,6551.738389168709,399.64338206594584,399.64338206594584,24.039284257895943,374.1054607413716,18
95.0,1016.8607177734375,5549.225410217492,6566.0861279909295,413.99112088816673,413.99112088816673,21.66964890688896,395.7751096482605,19
100.0,999.080322265625,5580.928942501119,6580.009264766744,427.9142576639815,427.9142576639815,19.07117816208608,414.8462878103466,20
