time,cell_id,x,stage
0.0,1,5.9999995231629555,0.82
0.0,2,17.999999523162955,0.82
0.0,3,29.999999046325833,0.82
0.0,4,41.99999809265197,0.82
0.0,5,53.99999427795592,0.82
0.0,6,66.0,0.82
0.0,7,78.0,0.82
0.0,8,90.0,0.82
0.0,9,102.0,0.82
0.0,10,114.0,0.82
1.0540235042572021,1,5.9999995231629555,0.8308945383344378
1.0540235042572021,2,17.999999523162955,0.8193302835736955
1.0540235042572021,3,29.999999046325833,0.8169683728899274
1.0540235042572021,4,41.99999809265197,0.8199764660426548
1.0540235042572021,5,53.99999427795592,0.8199957438877651
1.0540235042572021,6,66.0,0.8199999673025948
1.0540235042572021,7,78.0,0.8199971743992397
1.0540235042572021,8,90.0,0.8198937007359096
1.0540235042572021,9,102.0,0.8176384653363908
1.0540235042572021,10,114.0,0.7966878754752023
2.0708277821540833,1,5.9999995231629555,0.8512388638087681
2.0708277821540833,2,17.999999523162955,0.821477004459926
2.0708277821540833,3,29.999999046325833,0.814495359148298
2.0708277821540833,4,41.99999809265197,0.8199157033647809
2.0708277821540833,5,53.99999427795592,0.8199619565691266
2.0708277821540833,6,66.0,0.8199968338012695
2.0708277821540833,7,78.0,0.8199366841997419
2.0708277821540833,8,90.0,0.8191239493233817
2.0708277821540833,9,102.0,0.811220645904541
2.0708277821540833,10,114.0,0.7746054785592216
3.140916645526886,1,5.9999995231629555,0.8805159160069057
3.140916645526886,2,17.999999523162955,0.8284048352922712
3.140916645526886,3,29.999999046325833,0.8130100795200893
3.140916645526886,4,41.99999809265197,0.8198975154331752
3.140916645526886,5,53.99999427795592,0.8198712893894741
3.140916645526886,6,66.0,0.8199637276785714
3.140916645526886,7,78.0,0.8196540560041154
3.140916645526886,8,90.0,0.8171068600245884
3.140916645526886,9,102.0,0.8013228688921247
3.140916645526886,10,114.0,0.7520874568394251
4.574937731027603,1,5.9999995231629555,0.9092428343636648
4.574937731027603,2,17.999999523162955,0.8449071475437709
4.574937731027603,3,29.999999046325833,0.814239638192313
4.574937731027603,4,41.99999809265197,0.8203108651297433
4.574937731027603,5,53.99999427795592,0.8196662494114467
4.574937731027603,6,66.0,0.8197745595659528
4.574937731027603,7,78.0,0.8185655730111259
4.574937731027603,8,90.0,0.8120788846697126
4.574937731027603,9,102.0,0.7847379956926619
4.574937731027603,10,114.0,0.7234531811305455
5.7926651537418365,1,5.9999995231629555,0.9126063074384416
5.7926651537418365,2,17.999999523162955,0.8601510865347726
5.7926651537418365,3,29.999999046325833,0.8189503805977958
5.7926651537418365,4,41.99999809265197,0.8215855870928083
5.7926651537418365,5,53.99999427795592,0.8194897515433175
5.7926651537418365,6,66.0,0.8193546022687639
5.7926651537418365,7,78.0,0.8166837011064801
5.7926651537418365,8,90.0,0.8056889942714146
5.7926651537418365,9,102.0,0.7689095905848912
5.7926651537418365,10,114.0,0.7007682664053781
7.272820144891739,1,5.9999995231629555,0.9026146616254533
7.272820144891739,2,17.999999523162955,0.8733897890363421
7.272820144891739,3,29.999999046325833,0.8282771110534668
7.272820144891739,4,41.99999809265197,0.824988569532122
7.272820144891739,5,53.99999427795592,0.8194830077035087
7.272820144891739,6,66.0,0.8183383941650391
7.272820144891739,7,78.0,0.8128930500575474
7.272820144891739,8,90.0,0.7955621310642788
7.272820144891739,9,102.0,0.7487409455435616
7.272820144891739,10,114.0,0.675396169934954
8.92430528998375,1,5.9999995231629555,0.8880086626325334
8.92430528998375,2,17.999999523162955,0.8797214371817452
8.92430528998375,3,29.999999046325833,0.8402885709490096
8.92430528998375,4,41.99999809265197,0.8315654482160296
8.92430528998375,5,53.99999427795592,0.8201415879385812
8.92430528998375,6,66.0,0.8163541385105678
8.92430528998375,7,78.0,0.806476320539202
8.92430528998375,8,90.0,0.7817492485046387
8.92430528998375,9,102.0,0.7261833463396344
8.92430528998375,10,114.0,0.6500791140965053
10.589968830347061,1,5.9999995231629555,0.8739433288574219
10.589968830347061,2,17.999999523162955,0.8794125829424176
10.589968830347061,3,29.999999046325833,0.8508166585649763
10.589968830347061,4,41.99999809265197,0.8404607772827148
10.589968830347061,5,53.99999427795592,0.821885245186942
10.589968830347061,6,66.0,0.8133971350533621
10.589968830347061,7,78.0,0.7977213178362165
10.589968830347061,8,90.0,0.7659337180001394
10.589968830347061,9,102.0,0.7043054444449289
10.589968830347061,10,114.0,0.627732481275286
12.272262781858444,1,5.9999995231629555,0.8612631389072963
12.272262781858444,2,17.999999523162955,0.8748176438467843
12.272262781858444,3,29.999999046325833,0.8579313414437431
12.272262781858444,4,41.99999809265197,0.8500347137451172
12.272262781858444,5,53.99999427795592,0.8246750150408063
12.272262781858444,6,66.0,0.8096429279872349
12.272262781858444,7,78.0,0.7870441164289202
12.272262781858444,8,90.0,0.7489564759390694
12.272262781858444,9,102.0,0.683661665235247
12.272262781858444,10,114.0,0.6081678526742117
13.971644967794418,1,5.9999995231629555,0.850339344569615
13.971644967794418,2,17.999999523162955,0.8676526205880302
13.971644967794418,3,29.999999046325833,0.8609350068228585
13.971644967794418,4,41.99999809265197,0.8584060668945312
13.971644967794418,5,53.99999427795592,0.827930177961077
13.971644967794418,6,66.0,0.8053899492536272
13.971644967794418,7,78.0,0.7751447813851493
13.971644967794418,8,90.0,0.7316216741289411
13.971644967794418,9,102.0,0.6645679473876953
13.971644967794418,10,114.0,0.5911437443324498
15.0,1,5.9999995231629555,0.844735758645194
15.0,2,17.999999523162955,0.8626602717808315
15.0,3,29.999999046325833,0.8607020378112793
15.0,4,41.99999809265197,0.8620907919747489
15.0,5,53.99999427795592,0.8296793528965541
15.0,6,66.0,0.8027034487043108
15.0,7,78.0,0.7677621160234723
15.0,8,90.0,0.721374375479562
15.0,9,102.0,0.6539653369358608
15.0,10,114.0,0.5820773669651577
16.1670800447464,1,5.9999995231629555,0.8394075121198382
16.1670800447464,2,17.999999523162955,0.8533973693847656
16.1670800447464,3,29.999999046325833,0.8521796635219029
16.1670800447464,4,41.99999809265197,0.8642236164637974
16.1670800447464,5,53.99999427795592,0.8308766228812081
16.1670800447464,6,66.0,0.799569947378976
16.1670800447464,7,78.0,0.7595631054469517
16.1670800447464,8,90.0,0.7103150912693569
16.1670800447464,9,102.0,0.6429833684648786
16.1670800447464,10,114.0,0.5729608535766602
17.195135831832886,1,5.9999995231629555,0.8352861404418945
17.195135831832886,2,17.999999523162955,0.8453713825770788
17.195135831832886,3,29.999999046325833,0.8438538823808943
17.195135831832886,4,41.99999809265197,0.8645031792776925
17.195135831832886,5,53.99999427795592,0.831059183393206
17.195135831832886,6,66.0,0.7967079707554409
17.195135831832886,7,78.0,0.7526234218052454
17.195135831832886,8,90.0,0.7011045728410994
17.195135831832886,9,102.0,0.6340347017560687
17.195135831832886,10,114.0,0.5656517573765346
18.57282856106758,1,5.9999995231629555,0.830387796674456
18.57282856106758,2,17.999999523162955,0.8350769451686314
18.57282856106758,3,29.999999046325833,0.8319449424743652
18.57282856106758,4,41.99999809265197,0.8625392913818359
18.57282856106758,5,53.99999427795592,0.8296873228890556
18.57282856106758,6,66.0,0.792604787009103
18.57282856106758,7,78.0,0.7438507761274065
18.57282856106758,8,90.0,0.6896721294948033
18.57282856106758,9,102.0,0.6231161526271275
18.57282856106758,10,114.0,0.5568357535770961
19.742723554372787,1,5.9999995231629555,0.8266159466334752
19.742723554372787,2,17.999999523162955,0.8268955775669643
19.742723554372787,3,29.999999046325833,0.8214887210300991
19.742723554372787,4,41.99999809265197,0.8588873318263462
19.742723554372787,5,53.99999427795592,0.826878547668457
19.742723554372787,6,66.0,0.788743223462786
19.742723554372787,7,78.0,0.7369125229971749
19.742723554372787,8,90.0,0.6808630398341587
19.742723554372787,9,102.0,0.6148136002676827
19.742723554372787,10,114.0,0.5501696041652134
21.164737910032272,1,5.9999995231629555,0.8222975730895996
21.164737910032272,2,17.999999523162955,0.8177334240504673
21.164737910032272,3,29.999999046325833,0.8087096895490373
21.164737910032272,4,41.99999809265197,0.8522649492536273
21.164737910032272,5,53.99999427795592,0.8213326590401786
21.164737910032272,6,66.0,0.7833881378173828
21.164737910032272,7,78.0,0.7290740694318498
21.164737910032272,8,90.0,0.6713173048836845
21.164737910032272,9,102.0,0.6059182712009974
21.164737910032272,10,114.0,0.5430157525198801
22.87382224202156,1,5.9999995231629555,0.8172132628304617
22.87382224202156,2,17.999999523162955,0.8078418459211076
22.87382224202156,3,29.999999046325833,0.7936445644923619
22.87382224202156,4,41.99999809265197,0.8416694913591658
22.87382224202156,5,53.99999427795592,0.8116613115583147
22.87382224202156,6,66.0,0.775723934173584
22.87382224202156,7,78.0,0.7203326906476701
22.87382224202156,8,90.0,0.6615050860813686
22.87382224202156,9,102.0,0.5969399724687848
22.87382224202156,10,114.0,0.5357193946838379
24.655849784612656,1,5.9999995231629555,0.8117190088544572
24.655849784612656,2,17.999999523162955,0.7986726079668317
24.655849784612656,3,29.999999046325833,0.7786286899021694
24.655849784612656,4,41.99999809265197,0.8282886913844517
24.655849784612656,5,53.99999427795592,0.7984083039419991
24.655849784612656,6,66.0,0.7660189356122697
24.655849784612656,7,78.0,0.7116408348083496
24.655849784612656,8,90.0,0.6530624117170061
24.655849784612656,9,102.0,0.5895402772086007
24.655849784612656,10,114.0,0.5295885631016323
26.44771257042885,1,5.9999995231629555,0.8057075228009904
26.44771257042885,2,17.999999523162955,0.7902510506766183
26.44771257042885,3,29.999999046325833,0.7644030026027134
26.44771257042885,4,41.99999809265197,0.8133714539664132
26.44771257042885,5,53.99999427795592,0.7825907298496791
26.44771257042885,6,66.0,0.7544548852103097
26.44771257042885,7,78.0,0.7028307233537947
26.44771257042885,8,90.0,0.6459934370858329
26.44771257042885,9,102.0,0.5839127813066755
26.44771257042885,10,114.0,0.5248568058013916
28.24717965722084,1,5.9999995231629555,0.7989830289568219
28.24717965722084,2,17.999999523162955,0.7821271078927177
28.24717965722084,3,29.999999046325833,0.7509619167872837
28.24717965722084,4,41.99999809265197,0.7977746554783413
28.24717965722084,5,53.99999427795592,0.7651373318263462
28.24717965722084,6,66.0,0.741267204284668
28.24717965722084,7,78.0,0.6934841019766672
28.24717965722084,8,90.0,0.6397560664585659
28.24717965722084,9,102.0,0.5797309875488281
28.24717965722084,10,114.0,0.5214144161769322
30.0,1,5.9999995231629555,0.7916507720947266
30.0,2,17.999999523162955,0.7741104534694127
30.0,3,29.999999046325833,0.7385373115539551
30.0,4,41.99999809265197,0.7826286724635533
30.0,5,53.99999427795592,0.747493062700544
30.0,6,66.0,0.7273283685956682
30.0,7,78.0,0.6836737905229842
30.0,8,90.0,0.6339646748134068
30.0,9,102.0,0.5766337258475167
30.0,10,114.0,0.5191382680620467
31.80541044473648,1,5.9999995231629555,0.7832305771963937
31.80541044473648,2,17.999999523162955,0.7733164514814104
31.80541044473648,3,29.999999046325833,0.7413291931152344
31.80541044473648,4,41.99999809265197,0.7676347323826381
31.80541044473648,5,53.99999427795592,0.7294144630432129
31.80541044473648,6,66.0,0.712390490940639
31.80541044473648,7,78.0,0.6728414126804897
31.80541044473648,8,90.0,0.6278407914297921
31.80541044473648,9,102.0,0.573941707611084
31.80541044473648,10,114.0,0.5176233904702323
33.60891455411911,1,5.9999995231629555,0.7742513929094587
33.60891455411911,2,17.999999523162955,0.7713535172598702
33.60891455411911,3,29.999999046325833,0.7431518009730748
33.60891455411911,4,41.99999809265197,0.7539448738098143
33.60891455411911,5,53.99999427795592,0.7123423303876605
33.60891455411911,6,66.0,0.6974211420331683
33.60891455411911,7,78.0,0.6614467075892857
33.60891455411911,8,90.0,0.6212845529828752
33.60891455411911,9,102.0,0.5713020392826625
33.60891455411911,10,114.0,0.5166359288351876
35.40795683860779,1,5.9999995231629555,0.7652793611798967
35.40795683860779,2,17.999999523162955,0.7675514221191406
35.40795683860779,3,29.999999046325833,0.7429571832929338
35.40795683860779,4,41.99999809265197,0.7416293280465261
35.40795683860779,5,53.99999427795592,0.6971221651349749
35.40795683860779,6,66.0,0.6830299922398159
35.40795683860779,7,78.0,0.6497998237609863
35.40795683860779,8,90.0,0.6142131941659109
35.40795683860779,9,102.0,0.5683600221361432
35.40795683860779,10,114.0,0.5158408028738839
37.2012602686882,1,5.9999995231629555,0.756612913949149
37.2012602686882,2,17.999999523162955,0.7617872101919991
37.2012602686882,3,29.999999046325833,0.7402481351579938
37.2012602686882,4,41.99999809265197,0.7304116657802037
37.2012602686882,5,53.99999427795592,0.6840896606445312
37.2012602686882,6,66.0,0.6697479656764439
37.2012602686882,7,78.0,0.6382874080113002
37.2012602686882,8,90.0,0.606706074305943
37.2012602686882,9,102.0,0.5649065971374512
37.2012602686882,10,114.0,0.5149389675685337
38.98897260427475,1,5.9999995231629555,0.748326505933489
38.98897260427475,2,17.999999523162955,0.7542769568307058
38.98897260427475,3,29.999999046325833,0.7350004741123745
38.98897260427475,4,41.99999809265197,0.7198794228690011
38.98897260427475,5,53.99999427795592,0.6731682504926408
38.98897260427475,6,66.0,0.6579136848449707
38.98897260427475,7,78.0,0.627300466809954
38.98897260427475,8,90.0,0.598959105355399
38.98897260427475,9,102.0,0.5608790602002826
38.98897260427475,10,114.0,0.5137025969369071
40.0,1,5.9999995231629555,0.7437740053449358
40.0,2,17.999999523162955,0.7493692125592912
40.0,3,29.999999046325833,0.7309799875531877
40.0,4,41.99999809265197,0.7140656198774066
40.0,5,53.99999427795592,0.6678121430533273
40.0,6,66.0,0.6519242695399693
40.0,7,78.0,0.6214496748788017
40.0,8,90.0,0.5945617812020437
40.0,9,102.0,0.558354207447597
40.0,10,114.0,0.5127886363438198
