time,link_id,Q_exchange,deta,dV_exchange,cumulative_dV,eta_1d,eta_2d,mode,iteration_count
7.2,early_link,0.37207354111788066,0.5799999999999998,2.678929496048741,2.678929496048741,0.82,0.2400000000000001,yield_schedule,1
7.2,front_main,4.607414836007608,0.0,33.17338681925478,33.17338681925478,0.24000000000000007,0.24000000000000007,sub,2
9.6,early_link,0.7735710958057544,0.5778051005381989,1.8565706299338103,4.535500125982551,0.8434005010695684,0.26559540053136954,yield_schedule,1
9.6,front_main,4.564871339258542,0.0,10.955691214220499,44.12907803347528,0.24000000000000007,0.24000000000000007,sub,2
16.8,early_link,0.9154595854102635,0.5838276623133902,6.591309014953898,11.12680914093645,0.8523088636852446,0.26848120137185444,yield_schedule,1
16.8,front_main,4.386612868137266,0.0,31.583612650588318,75.7126906840636,0.24000000000000007,0.24000000000000007,sub,2
20.0,early_link,0.5731906314291136,0.5570536228347756,1.8342100205731633,12.961019161509613,0.8331691651117233,0.27611554227694785,yield_schedule,1
20.0,front_main,4.327580398540883,0.0,13.848257275330823,89.56094795939443,0.24000000000000007,0.24000000000000007,sub,2
26.4,early_link,0.3816801142194791,0.5434249762949432,2.4427527310046657,15.403771892514278,0.8206118629092262,0.2771868866142829,yield_schedule,1
26.4,front_main,4.2805623404088795,0.0,27.39559897861682,116.95654693801124,0.24000000000000007,0.24000000000000007,sub,2
29.6,early_link,0.10357180348618097,0.5191413929430488,0.33142977115577943,15.735201663670058,0.7967913718450638,0.2776499789020149,yield_schedule,1
29.6,front_main,4.288150936513146,0.0,13.72208299684208,130.67862993485332,0.24000000000000007,0.24000000000000007,sub,2
35.2,early_link,0.03507756290336049,0.5106486089756647,0.1964343522588188,15.931636015928877,0.7872229757763091,0.2765743668006444,yield_schedule,1
35.2,front_main,4.311992030501956,0.0,24.147155370810957,154.82578530566428,0.24000000000000007,0.24000000000000007,sub,2
40.0,early_link,0.0,0.490615585764704,0.0,15.931636015928877,0.7651393981206985,0.27452381235599455,yield_schedule,1
40.0,front_main,4.303107406994832,0.0,20.654915553575183,175.48070085923948,0.24000000000000007,0.24000000000000007,sub,2
