file_name,file_size_bytes,width_px,height_px,pixel_variance,nonwhite_ratio,interior_nonwhite_ratio,interior_pixel_variance,interior_colorfulness,dominant_color_fraction,unique_color_count_sampled,is_blank,is_near_blank,blank_level,is_approximately_blank,is_2d_map,figure_manifest_id,plot_category,script_path,case_name_hint,render_mode,output_png_path,relative_path,suspected_root_cause
2d_arrival_time_map.png,240721,1500,675,0.05553828552365303,0.43620938271604937,0.6710149794259842,0.057342518121004105,0.2022920697927475,0.5393580246913581,458,False,False,ok,False,True,Fig-CTD-15,2d_map,scripts/plot_2d_arrival_time_map.py,*test7*_strict_global_min_dt,mesh_faces_with_gray_edges,plots/2d_arrival_time_map.png,artifacts/chapter_coupling_analysis/plots/2d_arrival_time_map.png,ok
2d_difference_map.png,253989,1500,675,0.024393243715167046,0.43652839506172836,0.6786710434565237,0.02765694260597229,0.16230763494968414,0.5379753086419753,1164,False,False,ok,False,True,Fig-CTD-16,2d_map,scripts/plot_2d_difference_map.py,*test7*_strict_global_min_dt,mesh_faces_with_gray_edges,plots/2d_difference_map.png,artifacts/chapter_coupling_analysis/plots/2d_difference_map.png,ok
2d_max_depth_map.png,251297,1500,675,0.03414534032344818,0.4364454320987654,0.6684894053315106,0.03944648429751396,0.12974467873573303,0.5368395061728395,1271,False,False,ok,False,True,Fig-CTD-14,2d_map,scripts/plot_2d_max_depth_map.py,*test7*_strict_global_min_dt,mesh_faces_with_gray_edges,plots/2d_max_depth_map.png,artifacts/chapter_coupling_analysis/plots/2d_max_depth_map.png,ok
2d_snapshots_depth.png,630095,1800,1200,0.03403635323047638,0.4169273148148148,0.5868975539617076,0.03669900819659233,0.12914973497390747,0.59075,1594,False,False,ok,False,True,Fig-CTD-12,2d_map,scripts/plot_2d_snapshots_depth.py,*test7*,mesh_faces_with_gray_edges,plots/2d_snapshots_depth.png,artifacts/chapter_coupling_analysis/plots/2d_snapshots_depth.png,ok
2d_snapshots_velocity.png,633885,1800,1200,0.08188247680664062,0.41672453703703705,0.5863368894122144,0.08522989600896835,0.18611887097358704,0.5901,1524,False,False,ok,False,True,Fig-CTD-13,2d_map,scripts/plot_2d_snapshots_velocity.py,*test7*,mesh_faces_with_gray_edges,plots/2d_snapshots_velocity.png,artifacts/chapter_coupling_analysis/plots/2d_snapshots_velocity.png,ok
arrival_time_error_vs_interval.png,40682,1350,750,0.011313237249851227,0.03501333333333334,0.029651096107232704,0.005028839688748121,0.05159325897693634,0.9685925925925926,95,False,False,ok,False,False,Fig-CTD-20,hydrograph,scripts/plot_arrival_time_error_vs_interval.py,,non-2d-plot,plots/arrival_time_error_vs_interval.png,artifacts/chapter_coupling_analysis/plots/arrival_time_error_vs_interval.png,ok
cost_share_stacked.png,70886,1650,750,0.08915218710899353,0.4580549494949495,0.627567003132614,0.08842175453901291,0.203206405043602,0.5399516932025435,205,False,False,ok,False,False,Fig-CTD-23,hydrograph,scripts/plot_cost_share_stacked.py,,non-2d-plot,plots/cost_share_stacked.png,artifacts/chapter_coupling_analysis/plots/cost_share_stacked.png,ok
coupling_schematic.png,38303,1800,525,0.034371718764305115,0.30684761904761904,0.3559565098931525,0.04171346500515938,0.11580529808998108,0.6925448848659671,239,False,False,ok,False,False,Fig-CTD-01,other,scripts/plot_coupling_schematic.py,*,non-2d-plot,plots/coupling_schematic.png,artifacts/chapter_coupling_analysis/plots/coupling_schematic.png,ok
discharge_hydrographs_1d.png,88060,1350,675,0.01816749945282936,0.0558847736625514,0.058797838733622196,0.015180312097072601,0.10152671486139297,0.9421728395061728,416,False,False,ok,False,False,Fig-CTD-05,hydrograph,scripts/plot_discharge_hydrographs_1d.py,*test7*,non-2d-plot,plots/discharge_hydrographs_1d.png,artifacts/chapter_coupling_analysis/plots/discharge_hydrographs_1d.png,ok
exchange_deta_timeseries.png,79523,1350,1050,0.015531106851994991,0.039202821869488536,0.03514947454341394,0.011174032464623451,0.019756413996219635,0.9624197530864198,167,False,False,ok,False,False,Fig-CTD-09,hydrograph,scripts/plot_exchange_deta_timeseries.py,*test7*_fixed_interval_015s,non-2d-plot,plots/exchange_deta_timeseries.png,artifacts/chapter_coupling_analysis/plots/exchange_deta_timeseries.png,ok
