time,control_id,stage
0.0,floodplain_probe,0.8200000000000002
0.009484489854498682,floodplain_probe,0.8198562503741212
0.01896931180172238,floodplain_probe,0.819718571086141
0.02845415480387879,floodplain_probe,0.8195856669285332
0.037938772400957124,floodplain_probe,0.8194576816882702
0.04742295298620294,floodplain_probe,0.81933468059254
0.056906623083664204,floodplain_probe,0.8192164769707478
0.06638971636416151,floodplain_probe,0.8191025220817201
0.0758721710293615,floodplain_probe,0.8189922794205312
0.08535386317406941,floodplain_probe,0.818885186943537
0.0948347740892729,floodplain_probe,0.8187809688815063
0.10431487234331116,floodplain_probe,0.8186795965100092
0.11379408569415933,floodplain_probe,0.8185808920756652
0.12327252187057777,floodplain_probe,0.8184848936689364
0.13275026491256475,floodplain_probe,0.8183916645023278
0.1422273286948431,floodplain_probe,0.8183011998381143
0.15170372805507013,floodplain_probe,0.8182134318172595
0.16117946233577565,floodplain_probe,0.8181282107834579
0.17065452138635678,floodplain_probe,0.818045366766289
0.1801289004113911,floodplain_probe,0.8179646754017886
0.18960261028082673,floodplain_probe,0.8178859952849811
0.19907565007083078,floodplain_probe,0.8178092490238651
0.20854800417276162,floodplain_probe,0.8177343520370939
0.2180197046503553,floodplain_probe,0.8176612927367418
0.22749079137597705,floodplain_probe,0.8175900397567282
0.236961286657209,floodplain_probe,0.8175205887779203
0.24643119149723536,floodplain_probe,0.8174528838606872
0.255900484209545,floodplain_probe,0.81738689002696
0.2653691031013826,floodplain_probe,0.8173226152274987
0.27483701820164463,floodplain_probe,0.8172600372717619
0.28430420194345873,floodplain_probe,0.8171991490052775
0.29377062728104625,floodplain_probe,0.8171399555510274
0.30323628412198983,floodplain_probe,0.8170824076286074
0.3127011708000255,floodplain_probe,0.8170264789377354
0.32216530170072577,floodplain_probe,0.8169721349415114
0.3316287134208149,floodplain_probe,0.8169193192623317
0.34109144869032154,floodplain_probe,0.816867984643154
0.3505535412488128,floodplain_probe,0.816818089337767
0.36001500702020195,floodplain_probe,0.8167695741319188
0.36947585370380787,floodplain_probe,0.8167223739018278
0.37893609172215326,floodplain_probe,0.8166764092171173
0.38839574596123905,floodplain_probe,0.8166316320359188
0.3978548428199686,floodplain_probe,0.8165879683190312
0.4073134001162294,floodplain_probe,0.8165453272430298
0.41677143029972863,floodplain_probe,0.8165036524196082
0.42622893936757555,floodplain_probe,0.8164629198479468
0.4356859137393952,floodplain_probe,0.816423091680263
0.4451423385182947,floodplain_probe,0.816384152532938
0.4545982078632046,floodplain_probe,0.816346086628939
0.46405352571923114,floodplain_probe,0.8163088682552555
0.47350829844806763,floodplain_probe,0.8162724857667168
0.4829625315284675,floodplain_probe,0.8162369265329357
0.492416227238853,floodplain_probe,0.8162021703005107
0.5018693678552869,floodplain_probe,0.816168214394037
0.511321938195183,floodplain_probe,0.8161350567528775
0.5207739246272701,floodplain_probe,0.8161027083085389
0.5302253150916995,floodplain_probe,0.8160711905986116
0.5396760984117439,floodplain_probe,0.8160405133688681
0.5491262654663541,floodplain_probe,0.8160106850780129
0.5585758109304593,floodplain_probe,0.8159817231974699
0.568024734098923,floodplain_probe,0.8159536427252855
0.5774730363995113,floodplain_probe,0.8159264562635817
0.5869207221685614,floodplain_probe,0.8159001637354093
0.5963677998193773,floodplain_probe,0.8158747651664569
0.6058142800146712,floodplain_probe,0.8158502580604313
0.6152601741204473,floodplain_probe,0.8158266325597436
0.6247054936856201,floodplain_probe,0.8158038877469167
0.6341502502735279,floodplain_probe,0.8157820341936417
0.6435944553501505,floodplain_probe,0.8157610803947296
0.6530381197503456,floodplain_probe,0.8157410290681723
0.662481251227949,floodplain_probe,0.8157218901827786
0.6719238545120146,floodplain_probe,0.8157036795958389
0.6813659337140515,floodplain_probe,0.8156864052073226
0.6908074841581322,floodplain_probe,0.815670074333937
0.7002485001928829,floodplain_probe,0.8156546985351089
0.7096889773980033,floodplain_probe,0.8156402982779372
0.7191289067437573,floodplain_probe,0.8156268743574983
0.7285682756248286,floodplain_probe,0.815614457770466
0.7380070711985273,floodplain_probe,0.8156030595968741
0.7474452821911783,floodplain_probe,0.8155926661389806
0.7568829021487097,floodplain_probe,0.8155832530227786
0.76631993016322,floodplain_probe,0.8155748113359401
0.7757563648146633,floodplain_probe,0.8155673219972885
0.7851922288181705,floodplain_probe,0.8155607690925987
0.7946275507316776,floodplain_probe,0.8155551212945822
0.804062354954463,floodplain_probe,0.8155503768597144
0.8134966577250953,floodplain_probe,0.8155465183222453
0.8229304730707511,floodplain_probe,0.8155435318793266
0.8323638144146488,floodplain_probe,0.815541401853138
0.8417966938911895,floodplain_probe,0.8155400969878072
0.8512291226138494,floodplain_probe,0.8155396008005248
0.86066110550941,floodplain_probe,0.8155399070920318
0.8700926263777179,floodplain_probe,0.8155409822375219
0.8795236843021145,floodplain_probe,0.8155427963416443
0.8889542814517041,floodplain_probe,0.8155453348942583
0.8983844200026959,floodplain_probe,0.815548569471328
0.9078141034703248,floodplain_probe,0.8155524783050208
0.9172433365091155,floodplain_probe,0.8155570381434684
0.9266721227004381,floodplain_probe,0.8155622136687671
0.9361004649327581,floodplain_probe,0.8155679788720485
0.9455283640033112,floodplain_probe,0.8155743217112312
0.9549558225681014,floodplain_probe,0.8155812142307147
0.9643828428063588,floodplain_probe,0.8155886407133984
0.9738094223247435,floodplain_probe,0.8155965886008173
0.9832355695852087,floodplain_probe,0.8156050647909622
0.9926612906803648,floodplain_probe,0.8156140553995533
1.002086576856917,floodplain_probe,0.8156235514110062
1.0115114360356474,floodplain_probe,0.8156335306422785
1.0209358824789034,floodplain_probe,0.8156439997657271
1.0303599333072322,floodplain_probe,0.8156549665775371
1.0397836028370326,floodplain_probe,0.8156664270954632
1.0492069003832858,floodplain_probe,0.8156783641845081
1.0586298321650711,floodplain_probe,0.8156907633950011
1.0680523987828026,floodplain_probe,0.8157036049021352
1.0774745992045571,floodplain_probe,0.8157168714469661
1.0868964335101468,floodplain_probe,0.8157305493205417
1.096317902432565,floodplain_probe,0.815744621661849
1.1057390101218567,floodplain_probe,0.8157590620876322
1.1151597632528085,floodplain_probe,0.815773854617088
1.124580168978897,floodplain_probe,0.8157889782655051
