time,cell_id,x,discharge
0.0,1,5.9999995231629555,0.0
0.0,2,17.999999523162955,0.0
0.0,3,29.999999046325833,0.0
0.0,4,41.99999809265197,0.0
0.0,5,53.99999427795592,0.0
0.0,6,66.0,0.0
0.0,7,78.0,0.0
0.0,8,90.0,0.0
0.0,9,102.0,0.0
0.0,10,114.0,0.0
1.0540238618850708,1,5.9999995231629555,2.0271639823913574
1.0540238618850708,2,17.999999523162955,0.3558807671070099
1.0540238618850708,3,29.999999046325833,0.027826523408293724
1.0540238618850708,4,41.99999809265197,-0.00012925358896609396
1.0540238618850708,5,53.99999427795592,-0.00286527955904603
1.0540238618850708,6,66.0,0.0
1.0540238618850708,7,78.0,0.0
1.0540238618850708,8,90.0,0.0
1.0540238618850708,9,102.0,0.00299489451572299
1.0540238618850708,10,114.0,0.06305225193500519
2.244421035051346,1,5.9999995231629555,3.7466118335723877
2.244421035051346,2,17.999999523162955,1.0979011058807373
2.244421035051346,3,29.999999046325833,0.16759449243545532
2.244421035051346,4,41.99999809265197,0.008943866938352585
2.244421035051346,5,53.99999427795592,-0.012446914799511433
2.244421035051346,6,66.0,-0.000738457718398422
2.244421035051346,7,78.0,0.0
2.244421035051346,8,90.0,0.0024260981008410454
2.244421035051346,9,102.0,0.03250880911946297
2.244421035051346,10,114.0,0.25981441140174866
3.499659240245819,1,5.9999995231629555,4.330458641052246
3.499659240245819,2,17.999999523162955,2.0289270877838135
3.499659240245819,3,29.999999046325833,0.4938826560974121
3.499659240245819,4,41.99999809265197,0.057586345821619034
3.499659240245819,5,53.99999427795592,-0.021778281778097153
3.499659240245819,6,66.0,-0.0028552100993692875
3.499659240245819,7,78.0,0.0009995893342420459
3.499659240245819,8,90.0,0.015046784654259682
3.499659240245819,9,102.0,0.11063625663518906
3.499659240245819,10,114.0,0.5450230240821838
4.524877853691578,1,5.9999995231629555,3.2390289306640625
4.524877853691578,2,17.999999523162955,2.4416093826293945
4.524877853691578,3,29.999999046325833,0.8694683909416199
4.524877853691578,4,41.99999809265197,0.1540229767560959
4.524877853691578,5,53.99999427795592,-0.018293362110853195
4.524877853691578,6,66.0,-0.0037542199715971947
4.524877853691578,7,78.0,0.004096161108464003
4.524877853691578,8,90.0,0.03998076170682907
4.524877853691578,9,102.0,0.21402765810489655
4.524877853691578,10,114.0,0.8051969408988953
5.546329088509083,1,5.9999995231629555,1.7648550271987915
5.546329088509083,2,17.999999523162955,2.408562421798706
5.546329088509083,3,29.999999046325833,1.233095645904541
5.546329088509083,4,41.99999809265197,0.3037034273147583
5.546329088509083,5,53.99999427795592,0.00505355279892683
5.546329088509083,6,66.0,-0.0003142164496239275
5.546329088509083,7,78.0,0.012666014954447746
5.546329088509083,8,90.0,0.081852987408638
5.546329088509083,9,102.0,0.3479674756526947
5.546329088509083,10,114.0,1.069234013557434
6.6675728261470795,1,5.9999995231629555,0.7820686101913452
6.6675728261470795,2,17.999999523162955,2.094956159591675
6.6675728261470795,3,29.999999046325833,1.518786907196045
6.6675728261470795,4,41.99999809265197,0.5060895681381226
6.6675728261470795,5,53.99999427795592,0.060637980699539185
6.6675728261470795,6,66.0,0.01327595766633749
6.6675728261470795,7,78.0,0.032051313668489456
6.6675728261470795,8,90.0,0.14926248788833618
6.6675728261470795,9,102.0,0.5214729905128479
6.6675728261470795,10,114.0,1.3525195121765137
7.9235051572322845,1,5.9999995231629555,0.4512304663658142
7.9235051572322845,2,17.999999523162955,1.7108042240142822
7.9235051572322845,3,29.999999046325833,1.6818797588348389
7.9235051572322845,4,41.99999809265197,0.7343754172325134
7.9235051572322845,5,53.99999427795592,0.15867024660110474
7.9235051572322845,6,66.0,0.04862213879823685
7.9235051572322845,7,78.0,0.07075488567352295
7.9235051572322845,8,90.0,0.2514166235923767
7.9235051572322845,9,102.0,0.738069474697113
7.9235051572322845,10,114.0,1.6530001163482666
8.973252683877945,1,5.9999995231629555,0.4059548079967499
8.973252683877945,2,17.999999523162955,1.468417763710022
8.973252683877945,3,29.999999046325833,1.7104915380477905
8.973252683877945,4,41.99999809265197,0.8942322731018066
8.973252683877945,5,53.99999427795592,0.26484471559524536
8.973252683877945,6,66.0,0.10155864804983139
8.973252683877945,7,78.0,0.12348567694425583
8.973252683877945,8,90.0,0.35984334349632263
8.973252683877945,9,102.0,0.9309352040290833
8.973252683877945,10,114.0,1.884519100189209
10.0,1,5.9999995231629555,0.40047845244407654
10.0,2,17.999999523162955,1.286726951599121
10.0,3,29.999999046325833,1.6874370574951172
10.0,4,41.99999809265197,1.0131479501724243
10.0,5,53.99999427795592,0.3779929280281067
10.0,6,66.0,0.17479881644248962
10.0,7,78.0,0.19456110894680023
10.0,8,90.0,0.4825322926044464
10.0,9,102.0,1.1225768327713013
10.0,10,114.0,2.0935568809509277
11.14467266201973,1,5.9999995231629555,0.40001770853996277
11.14467266201973,2,17.999999523162955,1.1340633630752563
11.14467266201973,3,29.999999046325833,1.623209834098816
11.14467266201973,4,41.99999809265197,1.0990352630615234
11.14467266201973,5,53.99999427795592,0.5045138597488403
11.14467266201973,6,66.0,0.28107357025146484
11.14467266201973,7,78.0,0.29877692461013794
11.14467266201973,8,90.0,0.6368297338485718
11.14467266201973,9,102.0,1.3356685638427734
11.14467266201973,10,114.0,2.3055343627929688
12.238573148846626,1,5.9999995231629555,0.4000004827976227
12.238573148846626,2,17.999999523162955,1.0227134227752686
12.238573148846626,3,29.999999046325833,1.5414384603500366
12.238573148846626,4,41.99999809265197,1.1388005018234253
12.238573148846626,5,53.99999427795592,0.6172838807106018
12.238573148846626,6,66.0,0.40364179015159607
12.238573148846626,7,78.0,0.4231645464897156
12.238573148846626,8,90.0,0.7993598580360413
12.238573148846626,9,102.0,1.5352532863616943
12.238573148846626,10,114.0,2.4877452850341797
13.463779255747795,1,5.9999995231629555,0.4000000059604645
13.463779255747795,2,17.999999523162955,0.9259118437767029
13.463779255747795,3,29.999999046325833,1.4388151168823242
13.463779255747795,4,41.99999809265197,1.1424793004989624
13.463779255747795,5,53.99999427795592,0.7278192639350891
13.463779255747795,6,66.0,0.5600828528404236
13.463779255747795,7,78.0,0.5895481705665588
13.463779255747795,8,90.0,0.9961275458335876
13.463779255747795,9,102.0,1.7515523433685303
13.463779255747795,10,114.0,2.6695361137390137
14.539973199367523,1,5.9999995231629555,0.4000000059604645
14.539973199367523,2,17.999999523162955,0.8587789535522461
14.539973199367523,3,29.999999046325833,1.3464276790618896
14.539973199367523,4,41.99999809265197,1.1178292036056519
14.539973199367523,5,53.99999427795592,0.808155357837677
14.539973199367523,6,66.0,0.7087820172309875
14.539973199367523,7,78.0,0.7569504976272583
14.539973199367523,8,90.0,1.1797025203704834
14.539973199367523,9,102.0,1.9341607093811035
14.539973199367523,10,114.0,2.811232089996338
15.555847063660622,1,5.9999995231629555,0.4000000059604645
15.555847063660622,2,17.999999523162955,0.8057178854942322
15.555847063660622,3,29.999999046325833,1.2609018087387085
15.555847063660622,4,41.99999809265197,1.0792399644851685
15.555847063660622,5,53.99999427795592,0.8703123331069946
15.555847063660622,6,66.0,0.853296160697937
15.555847063660622,7,78.0,0.9285688996315002
15.555847063660622,8,90.0,1.3594757318496704
15.555847063660622,9,102.0,2.0998973846435547
15.555847063660622,10,114.0,2.931454658508301
16.62622132897377,1,5.9999995231629555,0.4000000059604645
16.62622132897377,2,17.999999523162955,0.7582597136497498
16.62622132897377,3,29.999999046325833,1.1750961542129517
16.62622132897377,4,41.99999809265197,1.0285927057266235
16.62622132897377,5,53.99999427795592,0.9225502610206604
16.62622132897377,6,66.0,1.0053329467773438
16.62622132897377,7,78.0,1.119060754776001
16.62622132897377,8,90.0,1.5539928674697876
16.62622132897377,9,102.0,2.2677910327911377
16.62622132897377,10,114.0,3.045732021331787
17.84489470720291,1,5.9999995231629555,0.4000000059604645
17.84489470720291,2,17.999999523162955,0.7114173173904419
17.84489470720291,3,29.999999046325833,1.0841680765151978
17.84489470720291,4,41.99999809265197,0.9666916131973267
17.84489470720291,5,53.99999427795592,0.9704193472862244
17.84489470720291,6,66.0,1.1730902194976807
17.84489470720291,7,78.0,1.3412636518478394
17.84489470720291,8,90.0,1.7775177955627441
17.84489470720291,9,102.0,2.450725793838501
17.84489470720291,10,114.0,3.1629669666290283
19.049202278256416,1,5.9999995231629555,0.4000000059604645
19.049202278256416,2,17.999999523162955,0.6715962886810303
19.049202278256416,3,29.999999046325833,1.0031846761703491
19.049202278256416,4,41.99999809265197,0.9078136086463928
19.049202278256416,5,53.99999427795592,1.0090807676315308
19.049202278256416,6,66.0,1.3290143013000488
19.049202278256416,7,78.0,1.5591773986816406
19.049202278256416,8,90.0,1.9968732595443726
19.049202278256416,9,102.0,2.62337064743042
19.049202278256416,10,114.0,3.2678117752075195
20.06160719692707,1,5.9999995231629555,0.4000000059604645
20.06160719692707,2,17.999999523162955,0.641754686832428
20.06160719692707,3,29.999999046325833,0.9412293434143066
20.06160719692707,4,41.99999809265197,0.8628342747688293
20.06160719692707,5,53.99999427795592,1.038170576095581
20.06160719692707,6,66.0,1.4502381086349487
20.06160719692707,7,78.0,1.7369110584259033
20.06160719692707,8,90.0,2.1768946647644043
20.06160719692707,9,102.0,2.762699842453003
20.06160719692707,10,114.0,3.349240303039551
21.076291229575872,1,5.9999995231629555,0.4000000059604645
21.076291229575872,2,17.999999523162955,0.6154460906982422
21.076291229575872,3,29.999999046325833,0.8880380392074585
21.076291229575872,4,41.99999809265197,0.8282908797264099
21.076291229575872,5,53.99999427795592,1.0664185285568237
21.076291229575872,6,66.0,1.5615065097808838
21.076291229575872,7,78.0,1.9052313566207886
21.076291229575872,8,90.0,2.3515708446502686
21.076291229575872,9,102.0,2.897010087966919
21.076291229575872,10,114.0,3.426375389099121
22.15542610734701,1,5.9999995231629555,0.4000000059604645
22.15542610734701,2,17.999999523162955,0.591078519821167
22.15542610734701,3,29.999999046325833,0.839905858039856
22.15542610734701,4,41.99999809265197,0.8011406660079956
22.15542610734701,5,53.99999427795592,1.0987966060638428
22.15542610734701,6,66.0,1.670655369758606
22.15542610734701,7,78.0,2.0713136196136475
22.15542610734701,8,90.0,2.526907205581665
22.15542610734701,9,102.0,3.0319106578826904
22.15542610734701,10,114.0,3.5037786960601807
23.192381136119366,1,5.9999995231629555,0.4000000059604645
23.192381136119366,2,17.999999523162955,0.5705976486206055
23.192381136119366,3,29.999999046325833,0.8015663027763367
23.192381136119366,4,41.99999809265197,0.7857534885406494
23.192381136119366,5,53.99999427795592,1.1325639486312866
23.192381136119366,6,66.0,1.76461923122406
23.192381136119366,7,78.0,2.2168402671813965
23.192381136119366,8,90.0,2.684192657470703
23.192381136119366,9,102.0,3.154595136642456
23.192381136119366,10,114.0,3.5744738578796387
24.363494977355003,1,5.9999995231629555,0.4000000059604645
