t,stage_ref,stage_case,diff,threshold,ref_crossing_time,case_crossing_time,arrival_time_diff
0.0,0.98,0.98,0.0,0.98,0.0,0.0,0.0
0.5,0.976516663044475,0.9764585115697948,-5.815147468024584e-05,0.98,0.0,0.0,0.0
1.0,0.9732061559554382,0.9729466559060576,-0.0002595000493806898,0.98,0.0,0.0,0.0
1.5,0.9700623479459729,0.9694717720700124,-0.0005905758759604529,0.98,0.0,0.0,0.0
2.0,0.9670978910099504,0.966044213687335,-0.0010536773226154095,0.98,0.0,0.0,0.0
2.5,0.9643078552703528,0.9626701364352025,-0.0016377188351502925,0.98,0.0,0.0,0.0
3.0,0.9616878064452291,0.9593562112319329,-0.002331595213296178,0.98,0.0,0.0,0.0
3.5,0.9592334705801691,0.956106361769523,-0.00312710881064604,0.98,0.0,0.0,0.0
4.0,0.9569402638679879,0.9529291087114852,-0.004011155156502744,0.98,0.0,0.0,0.0
4.5,0.954806298333496,0.9498313343435746,-0.004974963989921366,0.98,0.0,0.0,0.0
5.0,0.9528256962141598,0.9468178749084473,-0.006007821305712535,0.98,0.0,0.0,0.0
5.5,0.9509884123966902,0.9452644733869159,-0.005723939009774304,0.98,0.0,0.0,0.0
6.0,0.9492862294934534,0.9437852443163678,-0.005500985177085638,0.98,0.0,0.0,0.0
6.5,0.9477107086453034,0.9423853753879644,-0.005325333257338971,0.98,0.0,0.0,0.0
7.0,0.9462576146854514,0.9410616094386556,-0.005196005246795865,0.98,0.0,0.0,0.0
7.5,0.9449139914936193,0.9398027800201876,-0.005111211473431743,0.98,0.0,0.0,0.0
8.0,0.9436688137959028,0.9385976155836581,-0.005071198212244776,0.98,0.0,0.0,0.0
8.5,0.9425121103369375,0.9374575153757133,-0.005054594961224179,0.98,0.0,0.0,0.0
9.0,0.9414342234190819,0.9363765680474508,-0.0050576553716310535,0.98,0.0,0.0,0.0
9.5,0.9404256987572497,0.9353211379407145,-0.0051045608165352085,0.98,0.0,0.0,0.0
10.0,0.9394733903514292,0.9343342781066895,-0.00513911224473973,0.98,0.0,0.0,0.0
10.5,0.9385670458585738,0.9338315452933442,-0.0047355005652295334,0.98,0.0,0.0,0.0
11.0,0.9376967106945577,0.9333440721776676,-0.004352638516890162,0.98,0.0,0.0,0.0
