time,link_id,Q_exchange,deta,dV_exchange,cumulative_dV,eta_1d,eta_2d,mode,iteration_count
5.0,return_link,2.3863073127692505,0.42000000000000004,11.931536563846253,11.931536563846253,0.98,0.5599999999999999,fixed_interval,1
10.0,return_link,1.4879190020948903,0.36618123495021915,7.439595010474451,19.371131574320703,0.9475807150204977,0.5813994800702785,fixed_interval,1
15.0,return_link,1.305170747189264,0.3678347470705333,6.52585373594632,25.896985310267024,0.9401997725168864,0.572365025446353,fixed_interval,1
20.0,return_link,1.4149803214011842,0.3742993403139082,7.074901607005922,32.97188691727295,0.9443419973055521,0.5700426569916439,fixed_interval,1
25.0,return_link,1.5024080718383606,0.3759584849566091,7.512040359191802,40.48392727646475,0.9471035003662109,0.5711450154096018,fixed_interval,1
30.0,return_link,1.4608497463165426,0.3746658205921657,7.304248731582713,47.78817600804746,0.9444167415301005,0.5697509209379348,fixed_interval,1
35.0,return_link,1.3030996994674529,0.3696462601710111,6.515498497337264,54.30367450538472,0.9372554818789164,0.5676092217079053,fixed_interval,1
40.0,return_link,0.9653723872551918,0.35737346793389724,4.826861936275959,59.13053644166068,0.9228900273640951,0.5655165594301979,fixed_interval,1
45.0,return_link,0.46891603088442674,0.33505464760629544,2.344580154422134,61.47511659608281,0.8983450531959534,0.5632904055896579,fixed_interval,1
50.0,return_link,0.06481469947328392,0.30475146042669576,0.32407349736641955,61.79919009344923,0.8659595052401224,0.5612080448134267,fixed_interval,1
55.0,return_link,0.0,0.2704659723661408,0.0,61.79919009344923,0.8297030329704285,0.5592370606042877,fixed_interval,1
60.0,return_link,0.0,0.23231706063532498,0.0,61.79919009344923,0.7912201881408691,0.5589031275055442,fixed_interval,1
65.0,return_link,0.0,0.19132642010207124,0.0,61.79919009344923,0.7542661825815836,0.5629397624795124,fixed_interval,1
70.0,return_link,0.0,0.15517117689349813,0.0,61.79919009344923,0.721207837263743,0.5660366603702449,fixed_interval,1
75.0,return_link,0.0,0.12444681631975552,0.0,61.79919009344923,0.692672073841095,0.5682252575213395,fixed_interval,1
80.0,return_link,0.0,0.09827648265862798,0.0,61.79919009344923,0.6681616306304932,0.5698851479718652,fixed_interval,1
